TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Preciptition,Rn,U,WD,T_ERA5,RH_ERA5,P_ERA5,Preciptition_ERA5,Rn_ERA5,U_ERA5,WD_ERA5
201108010000,201108010059,15065.18,-17.05,0.23,-121.63,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.70396,0.9335624,95.17587,0,-71.69028,2.249249,34.47476
201108010100,201108010159,15008.08,-16.94,0.22,-120.74,0.61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.1473,0.9486852,95.17418,0,-69.23722,2.184101,38.09901
201108010200,201108010259,14851.47,-16.9,0.22,-120.82,0.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.12991,0.9592786,95.14966,0,-63.47286,2.226102,33.21924
201108010300,201108010359,15148.89,-16.86,0.19,-119.79,0.83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.9115,0.9475701,95.13951,0,-69.65353,2.226442,39.99706
201108010400,201108010459,14794.44,-16.72,0.21,-120.49,0.62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.10672,0.9428398,95.13698,0,-68.70562,2.26596,47.71164
201108010500,201108010559,14943.9,-16.61,0.22,-119.8,0.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.4295,0.9390019,95.1522,0,-48.07423,2.372506,54.99696
201108010600,201108010659,14950.35,-16.59,0.22,-119.68,0.68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.25674,0.9128859,95.16065,0,46.40245,2.345815,60.79553
201108010700,201108010759,14984.32,-16.49,0.21,-119.12,0.65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.1787,0.867699,95.16488,0,94.44698,2.162475,61.23969
201108010800,201108010859,15195.57,-16.52,0.23,-118.82,0.79,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.75274,0.8408733,95.17418,0.01468708,197.3412,2.064966,54.2224
201108010900,201108010959,15327.6,-16.52,0.21,-118.44,0.71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.5452,0.8141959,95.17503,0.01920618,262.9576,2.058195,47.05034
201108011000,201108011059,15681.67,-16.41,0.24,-116.91,1.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.58312,0.7881403,95.15643,0,352.0431,2.60142,40.89525
201108011100,201108011159,16447,-16.16,0.3,-113.96,1.69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.48575,0.7483956,95.17249,0,382.4926,2.880457,43.02034
201108011200,201108011259,17025.22,-15.81,0.31,-111.28,1.57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.86965,0.7009,95.15135,0,511.3889,3.233664,51.20343
201108011300,201108011359,17029.9,-15.72,0.33,-110.54,1.72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.06799,0.652886,95.11668,0,498.5492,2.853675,65.64253
201108011400,201108011459,16723.42,-15.76,0.32,-110.57,1.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.77541,0.631294,95.07694,0,485.6052,2.278166,59.22054
201108011500,201108011559,17204.65,-15.69,0.36,-108.78,1.57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.00541,0.6083836,95.06849,0,407.6488,2.370232,51.04124
201108011600,201108011659,16560.06,-15.6,0.31,-109.26,1.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.34945,0.5992357,95.05665,0,318.874,2.736862,45.03456
201108011700,201108011759,16652.48,-15.46,0.29,-109.1,1.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.91264,0.6238539,95.06087,0,172.6279,2.678245,44.69804
201108011800,201108011859,16780.61,-15.05,0.38,-110.06,1.67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.19363,0.6489045,95.08455,0,53.16548,1.907511,38.13255
201108011900,201108011959,15529.68,-15.76,0.28,-115.24,1.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.23182,0.7408718,95.10738,0,-55.35208,1.959831,42.76694
201108012000,201108012059,14996.51,-16.14,0.26,-118.02,1.45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.32219,0.8132893,95.16657,0,-75.1489,2.040788,62.68922
201108012100,201108012159,14905.92,-16.34,0.29,-118.88,1.93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.72882,0.8559406,95.19194,0,-68.78888,1.773788,71.31066
201108012200,201108012259,14321.37,-16.86,0.27,-122.35,1.65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.01754,0.8708255,95.21984,0,-72.36919,1.635871,65.33701
201108012300,201108012359,14343.88,-16.9,0.24,-122.69,1.06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.01947,0.8872305,95.24098,0,-69.67275,1.773144,62.37713
201108020000,201108020059,14312.2,-16.57,0.24,-121.85,0.81,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.81459,0.8982159,95.24014,0,-65.75939,1.661205,55.22543
201108020100,201108020159,14268.71,-16.67,0.23,-122.31,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.27534,0.9122211,95.24267,0,-68.34695,1.436948,53.96297
201108020200,201108020259,14059.01,-16.86,0.25,-123.63,1.05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.9313,0.9327808,95.23844,0,-67.7449,1.312519,61.01027
201108020300,201108020359,14389.45,-16.7,0.24,-122.49,0.97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.7728,0.9228967,95.20462,0,-67.52713,1.20171,59.44851
201108020400,201108020459,14144.07,-16.95,0.25,-124.74,1.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.34952,0.9385041,95.21392,0,-69.65353,1.218071,65.83501
201108020500,201108020559,15609.19,-16.51,0.32,-120.01,2.38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.82692,0.9341437,95.21561,0,-43.88487,1.053906,88.9959
201108020600,201108020659,18076.37,-15.54,0.37,-109.78,1.78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.2746,0.9004479,95.23844,0,56.04954,0.998403,78.47854
201108020700,201108020759,19217.03,-15,0.3,-105.83,1.16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.70296,0.8500437,95.27988,0,185.5267,0.7030348,51.78046
201108020800,201108020859,20185.24,-14.69,0.32,-103.36,0.99,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.30333,0.8007919,95.30101,0,316.1977,0.7819326,42.72173
201108020900,201108020959,21118.81,-14.38,0.37,-101.46,1.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.74328,0.7696917,95.312,0,453.1442,0.7972154,33.93999
201108021000,201108021059,20207.68,-14.34,0.44,-100.4,2.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.99768,0.7323331,95.32046,0,552.9235,1.197264,0.7742004
201108021100,201108021159,19467.91,-14.29,0.45,-99.9,2.09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.32359,0.6700069,95.32807,0,617.7917,1.054599,9.389954
201108021200,201108021259,19404.6,-14.21,0.42,-99.13,2.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.03607,0.5817773,95.33145,0,633.4024,0.6768862,24.09267
201108021300,201108021359,18999.07,-14.32,0.38,-99.62,1.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.47795,0.4798273,95.30524,0,620.6192,0.6987547,74.5391
201108021400,201108021459,18715.47,-14.32,0.43,-99.71,1.83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.60552,0.5264142,95.24352,0,525.515,1.148057,83.26105
201108021500,201108021559,18874.15,-14.4,0.4,-99.35,1.65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.22016,0.4618176,95.22576,0,447.7135,1.267364,76.14283
201108021600,201108021659,19312.62,-14.04,0.45,-98.49,1.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.15637,0.4617309,95.17672,0,313.2978,1.687451,68.5932
201108021700,201108021759,20276.19,-13.56,0.5,-97.37,1.56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.46249,0.5168797,95.14713,0,175.703,1.457685,52.72813
201108021800,201108021859,19406.95,-13.71,0.43,-100.7,1.93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.69396,0.6011292,95.16235,0,41.00908,1.507749,50.47285
201108021900,201108021959,17750.25,-14.57,0.28,-105.65,1.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.27214,0.6952161,95.15981,0,-60.72339,2.337406,64.69695
201108022000,201108022059,17628,-14.76,0.26,-106.83,1.51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.10665,0.7410609,95.20208,0,-78.21682,2.362812,74.50938
