TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Preciptition,Rn,U,WD,T_ERA5,RH_ERA5,P_ERA5,Preciptition_ERA5,Rn_ERA5,U_ERA5,WD_ERA5
201112311700,201112311759,-9999,-9999,-9999,-9999,-9999,14.8,0.88,102.22,0,-9999,2.3,100,14.91053,0.8231267,99.97585,0.09112515,-28.16755,3.345583,27.94559
201112311800,201112311859,-9999,-9999,-9999,-9999,-9999,14.7,0.88,102.17,0,-9999,1.9,100,14.9022,0.8232608,99.96017,0.1383752,-31.73036,3.67768,27.61414
201112311900,201112311959,-9999,-9999,-9999,-9999,-9999,14.8,0.87,102.2,0,-9999,1.5,130,14.71208,0.8086532,99.94536,0.1271252,-28.96992,3.934176,26.17931
201112312000,201112312059,-9999,-9999,-9999,-9999,-9999,15,0.86,102.21,0,-9999,1.6,100,14.59367,0.8077717,99.9741,0.2092503,-24.83294,4.181706,25.54729
201112312100,201112312159,-9999,-9999,-9999,-9999,-9999,15,0.85,102.24,0,-9999,2,120,14.77712,0.7935613,100.0002,0.1170002,-26.93087,4.20755,24.93361
201112312200,201112312259,-9999,-9999,-9999,-9999,-9999,15.1,0.84,102.29,0,-9999,0.8,150,14.91053,0.7802151,100.069,0.08212513,-25.03905,3.797194,21.29228
201112312300,201112312359,-9999,-9999,-9999,-9999,-9999,15.1,0.84,102.33,0,-9999,1.4,140,14.93889,0.7739708,100.1161,0.05783341,-20.49516,4.020985,19.9263
201201010000,201201010059,-9999,-9999,-9999,-9999,-9999,15.2,0.83,102.39,0,51.521164,1.5,140,14.60279,0.7624889,100.1798,0.06050265,1.36653,3.930181,21.90779
201201010100,201201010159,-9999,-9999,-9999,-9999,-9999,15.4,0.83,102.46,0,128.95576,2,130,14.4438,0.7827513,100.233,0.1299028,38.13942,4.035501,22.3685
201201010200,201201010259,-9999,-9999,-9999,-9999,-9999,15.8,0.79,102.44,0,169.42357,1.8,110,15.49412,0.7379708,100.2348,0.09609244,112.4095,4.010566,23.86256
201201010300,201201010359,-9999,-9999,-9999,-9999,-9999,15.6,0.8,102.37,0,159.11612,2.6,90,15.36082,0.7570992,100.1301,0.1770592,92.14693,4.12082,24.69557
201201010400,201201010459,-9999,-9999,-9999,-9999,-9999,15.3,0.81,102.22,0,164.42911,3,100,15.4636,0.7603003,100.0533,0.1565951,150.6116,4.572123,24.925
201201010500,201201010559,-9999,-9999,-9999,-9999,-9999,15.1,0.81,102.16,0,149.24304,4.1,90,15.41863,0.7435797,99.97295,0.05694367,109.7225,4.847869,21.28987
201201010600,201201010659,-9999,-9999,-9999,-9999,-9999,15.2,0.76,102.17,0,103.092,2.8,80,15.41863,0.7343126,99.91335,0.1565951,106.1522,5.321531,20.98361
201201010700,201201010759,-9999,-9999,-9999,-9999,-9999,15.2,0.73,102.17,0,48.97102,3.3,80,15.04604,0.7209536,99.93683,0.1628233,99.76697,5.913932,23.32919
201201010800,201201010859,-9999,-9999,-9999,-9999,-9999,15.1,0.73,102.21,0,-11.925335,3.6,90,14.3635,0.7326421,99.97927,0.212649,31.50323,5.551567,25.17171
201201010900,201201010959,-9999,-9999,-9999,-9999,-9999,15.1,0.73,102.28,0,-43.567646,3,80,14.55461,0.721177,100.0633,0.06673086,-9.537269,5.598841,26.3112
201201011000,201201011059,-9999,-9999,-9999,-9999,-9999,15.2,0.72,102.31,0,-35.650257,3.2,90,14.24947,0.7214483,100.0732,0.07384882,-29.42041,5.297094,23.76785
201201011100,201201011159,-9999,-9999,-9999,-9999,-9999,15.2,0.74,102.37,0,-32.85245,2.9,90,14.32495,0.7208848,100.1481,0.06584112,-24.10235,5.460292,30.84441
201201011200,201201011259,-9999,-9999,-9999,-9999,-9999,15.1,0.76,102.4,0,-31.713034,3.1,90,14.06318,0.7205083,100.1798,0.07206933,-25.88531,5.346199,35.82205
201201011300,201201011359,-9999,-9999,-9999,-9999,-9999,15.1,0.73,102.39,0,-29.36678,3.9,80,14.07763,0.7199714,100.159,0.05427444,-27.24237,5.110518,38.86797
201201011400,201201011459,-9999,-9999,-9999,-9999,-9999,15,0.71,102.35,0,-31.737625,4.3,90,14.05033,0.7084596,100.1427,0.04092826,-28.1952,5.043126,40.80492
201201011500,201201011559,-9999,-9999,-9999,-9999,-9999,14.9,0.69,102.29,0,-30.19027,3.7,80,13.83512,0.7182806,100.0777,0.05071545,-33.99882,5.020718,42.64906
201201011600,201201011659,-9999,-9999,-9999,-9999,-9999,14.8,0.68,102.28,0,-31.569248,4.4,80,13.97163,0.7124923,100.0705,0.06139239,-27.94256,4.966928,44.67404
201201011700,201201011759,-9999,-9999,-9999,-9999,-9999,14.7,0.66,102.26,0,-35.40552,3.4,90,13.73555,0.7223867,100.0181,0.01423592,-35.58687,4.911223,46.33621
201201011800,201201011859,-9999,-9999,-9999,-9999,-9999,14.7,0.67,102.23,0,-40.232414,3.7,90,13.86082,0.7005004,99.99462,0.01512566,-30.10087,4.737667,49.3093
201201011900,201201011959,-9999,-9999,-9999,-9999,-9999,14.5,0.66,102.17,0,-44.158043,3.6,100,13.7484,0.6909974,99.95128,0.04181801,-26.12351,4.622247,52.36997
201201012000,201201012059,-9999,-9999,-9999,-9999,-9999,14.5,0.66,102.2,0,-43.99444,2.4,100,13.79497,0.6951687,99.99733,0.01690515,-31.86216,4.704325,51.63658
201201012100,201201012159,-9999,-9999,-9999,-9999,-9999,14.5,0.7,102.24,0,-44.65888,2.9,100,13.73716,0.7060803,99.99101,0.01601541,-26.15961,4.522129,52.53651
201201012200,201201012259,-9999,-9999,-9999,-9999,-9999,14.7,0.68,102.27,0,-41.991734,3.6,90,13.94754,0.6977077,100.0651,0.05872316,-33.26976,4.897788,45.65642
201201012300,201201012359,-9999,-9999,-9999,-9999,-9999,15.1,0.63,102.31,0,4.159416,4,100,14.00536,0.6950301,100.1256,0.07829755,-27.22586,4.739187,44.94041
201201020000,201201020059,-9999,-9999,-9999,-9999,-9999,14.9,0.67,102.33,0,98.6261,2.5,140,13.82228,0.7009078,100.1391,0.02669234,3.01E-06,4.934258,53.0618
201201020100,201201020159,-9999,-9999,-9999,-9999,-9999,15.1,0.7,102.32,0,222.15088,3,130,14.02463,0.7076722,100.1436,0.05694367,38.47472,4.779441,66.15726
