TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Preciptition,Rn,U,WD,T_ERA5,RH_ERA5,P_ERA5,Preciptition_ERA5,Rn_ERA5,U_ERA5,WD_ERA5
201203150000,201203150059,3422.676833,-21.62316667,0.155931288,-160.6768333,1.112897195,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.75745,0.8385695,93.22392,0,-82.22014,3.419323,38.96068
201203150100,201203150159,3315.081833,-21.902,0.076291546,-162.7055,0.838193951,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.57513,0.8566609,93.17685,0,-81.00627,3.555914,38.6591
201203150200,201203150259,3445.6604,-21.569,0.079567581,-160.4366,0.595957465,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.45416,0.8778402,93.1385,0,-78.11165,3.636189,37.58052
201203150400,201203150459,3590.560833,-21.179,0.170631767,-157.5743333,0.987963292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.58389,0.8840491,93.07314,0,-66.69992,3.682832,37.38591
201203150500,201203150559,3783.900333,-20.86483333,0.254830467,-155.1903333,1.730071636,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.69609,0.8889537,93.07662,0,-57.99606,3.782309,44.49872
201203150600,201203150659,4067.162833,-20.02283333,0.555051499,-149.3021667,4.015081141,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.69259,0.8959059,93.1324,0.01046881,-56.68881,3.898644,48.18459
201203150700,201203150759,4241.887333,-19.45016667,0.297035632,-144.754,2.033383781,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.59441,0.8942283,93.16639,0.01522736,-61.62433,3.867676,48.65845
201203150800,201203150859,3584.0855,-21.59066667,0.293462547,-159.265,2.064415268,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.08353,0.8697847,93.18469,0,-37.23341,3.890309,49.54688
201203150900,201203150959,3535.883,-21.60266667,0.130705266,-160.2068333,0.542469692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.35557,0.7119115,93.23263,0,96.73596,3.816524,51.84331
201203151000,201203151059,3833.440333,-20.87,0.565550705,-154.0236667,4.520204981,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.00627,0.525803,93.29887,0,305.5296,4.406497,51.03246
