TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201412250000,-56.6641,-397.07,75.1S,123.38EÊ,Ice Sheet
201412250100,-55.3917,-393.165,75.1S,123.38EÊ,Ice Sheet
201412250200,-55.8212,-399.004,75.1S,123.38EÊ,Ice Sheet
201412250300,-57.6479,-400.32,75.1S,123.38EÊ,Ice Sheet
201412250400,-57.6261,-395.649,75.1S,123.38EÊ,Ice Sheet
201412250500,-57.2765,-401.816,75.1S,123.38EÊ,Ice Sheet
201412250600,-56.98,-401.363,75.1S,123.38EÊ,Ice Sheet
201412250700,-61.1831,-438.632,75.1S,123.38EÊ,Ice Sheet
201412250800,-62.5737,-459.066,75.1S,123.38EÊ,Ice Sheet
201412250900,-63.2774,-461.288,75.1S,123.38EÊ,Ice Sheet
201412251000,-65.6607,-481.983,75.1S,123.38EÊ,Ice Sheet
201412251100,-66.1322,-477.236,75.1S,123.38EÊ,Ice Sheet
201412251200,-65.2465,-479.931,75.1S,123.38EÊ,Ice Sheet
201412251300,-63.1217,-471.775,75.1S,123.38EÊ,Ice Sheet
201412251400,-65.5219,-484.316,75.1S,123.38EÊ,Ice Sheet
201412251500,-65.9989,-470.59,75.1S,123.38EÊ,Ice Sheet
201412251600,-64.0745,-473.959,75.1S,123.38EÊ,Ice Sheet
201412251700,-65.2919,-487.277,75.1S,123.38EÊ,Ice Sheet
201412251800,-66.7554,-476.44,75.1S,123.38EÊ,Ice Sheet
201412251900,-67.6745,-481.77,75.1S,123.38EÊ,Ice Sheet
201412252000,-68.9365,-497.858,75.1S,123.38EÊ,Ice Sheet
201412252100,-61.8596,-496.282,75.1S,123.38EÊ,Ice Sheet
201412252200,-53.8577,-495.078,75.1S,123.38EÊ,Ice Sheet
201412252300,-64.3856,-475.999,75.1S,123.38EÊ,Ice Sheet
201412260000,-63.9635,-463.609,75.1S,123.38EÊ,Ice Sheet
201412260100,-65.3107,-461.429,75.1S,123.38EÊ,Ice Sheet
201412260200,-65.8433,-473.899,75.1S,123.38EÊ,Ice Sheet
201412260300,-66.3343,-487.571,75.1S,123.38EÊ,Ice Sheet
201412260400,-66.6893,-480.45,75.1S,123.38EÊ,Ice Sheet
201412260500,-66.0308,-477.622,75.1S,123.38EÊ,Ice Sheet
201412260600,-65.171,-480.936,75.1S,123.38EÊ,Ice Sheet
201412260700,-64.8988,-478.273,75.1S,123.38EÊ,Ice Sheet
201412260800,-65.8396,-475.229,75.1S,123.38EÊ,Ice Sheet
201412260900,-65.9361,-484.735,75.1S,123.38EÊ,Ice Sheet
201412261000,-64.1036,-470.32,75.1S,123.38EÊ,Ice Sheet
201412261100,-61.1278,-453.695,75.1S,123.38EÊ,Ice Sheet
201412261200,-61.3422,-450.731,75.1S,123.38EÊ,Ice Sheet
201412261300,-60.6552,-443.845,75.1S,123.38EÊ,Ice Sheet
201412261400,-60.2509,-445.666,75.1S,123.38EÊ,Ice Sheet
201412261500,-60.0442,-449.824,75.1S,123.38EÊ,Ice Sheet
201412261600,-59.8238,-448.515,75.1S,123.38EÊ,Ice Sheet
201412261700,-60.8622,-463.458,75.1S,123.38EÊ,Ice Sheet
201412261800,-62.9367,-470.112,75.1S,123.38EÊ,Ice Sheet
201412261900,-68.1506,-485.248,75.1S,123.38EÊ,Ice Sheet
201412262000,-68.2812,-510.442,75.1S,123.38EÊ,Ice Sheet
201412262100,-67.9672,-509.267,75.1S,123.38EÊ,Ice Sheet
201412262200,-68.8862,-496.847,75.1S,123.38EÊ,Ice Sheet
201412262300,-67.2223,-496.596,75.1S,123.38EÊ,Ice Sheet
201412270000,-62.4633,-470.399,75.1S,123.38EÊ,Ice Sheet
201412270100,-67.9012,-486.673,75.1S,123.38EÊ,Ice Sheet
201412270200,-66.84,-483.974,75.1S,123.38EÊ,Ice Sheet
201412270300,-65.877,-482.828,75.1S,123.38EÊ,Ice Sheet
201412270400,-65.6184,-475.093,75.1S,123.38EÊ,Ice Sheet
201412270500,-63.8865,-477.768,75.1S,123.38EÊ,Ice Sheet
201412270600,-65.0242,-471.079,75.1S,123.38EÊ,Ice Sheet
201412270700,-64.3006,-468.466,75.1S,123.38EÊ,Ice Sheet
201412270800,-63.914,-469.218,75.1S,123.38EÊ,Ice Sheet
201412270900,-65.79,-462.69,75.1S,123.38EÊ,Ice Sheet
201412271000,-65.1155,-481.295,75.1S,123.38EÊ,Ice Sheet
201412271100,-65.6893,-482.197,75.1S,123.38EÊ,Ice Sheet
201412271200,-64.4288,-476.648,75.1S,123.38EÊ,Ice Sheet
201412271300,-64.823,-470.635,75.1S,123.38EÊ,Ice Sheet
201412271400,-63.3818,-471.135,75.1S,123.38EÊ,Ice Sheet
201412271500,-62.1941,-470.468,75.1S,123.38EÊ,Ice Sheet
201412271600,-63.524,-468.367,75.1S,123.38EÊ,Ice Sheet
201412271700,-63.8058,-471.792,75.1S,123.38EÊ,Ice Sheet
201412271800,-65.1712,-476.737,75.1S,123.38EÊ,Ice Sheet
201412271900,-65.4794,-476.816,75.1S,123.38EÊ,Ice Sheet
201412272000,-65.8348,-487.97,75.1S,123.38EÊ,Ice Sheet
201412272100,-66.2276,-492.177,75.1S,123.38EÊ,Ice Sheet
201412272200,-65.2905,-494.631,75.1S,123.38EÊ,Ice Sheet
201412272300,-66.3987,-497.918,75.1S,123.38EÊ,Ice Sheet
201412280000,-68.7197,-498.222,75.1S,123.38EÊ,Ice Sheet
201412280100,-68.152,-493.469,75.1S,123.38EÊ,Ice Sheet
201412280200,-68.1124,-496.317,75.1S,123.38EÊ,Ice Sheet
201412280300,-67.254,-497.944,75.1S,123.38EÊ,Ice Sheet
