TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201312162200,-57.055,-410.85,75.0S,0.07E,Ice Sheet
201312162300,-56.605,-414.85,75.0S,0.07E,Ice Sheet
201312170600,-57.17,-427.2,75.0S,0.07E,Ice Sheet
201312170700,-56.73,-424.55,75.0S,0.07E,Ice Sheet
201312170800,-57.1,-421.2,75.0S,0.07E,Ice Sheet
201312170900,-55.55,-409.4,75.0S,0.07E,Ice Sheet
201312171000,-55.26,-411.6,75.0S,0.07E,Ice Sheet
201312171100,-56.735,-408.25,75.0S,0.07E,Ice Sheet
201312171200,-55.515,-408.45,75.0S,0.07E,Ice Sheet
201312171300,-54.905,-405.4,75.0S,0.07E,Ice Sheet
201312171400,-53.06,-398.9,75.0S,0.07E,Ice Sheet
201312171500,-53.02,-398.5,75.0S,0.07E,Ice Sheet
201312171600,-53.62,-395.7,75.0S,0.07E,Ice Sheet
201312171700,-53.79,-400.8,75.0S,0.07E,Ice Sheet
201312171800,-54.19,-398,75.0S,0.07E,Ice Sheet
201312171900,-54.14,-395.2,75.0S,0.07E,Ice Sheet
201312172000,-54.54,-399.1,75.0S,0.07E,Ice Sheet
201312172100,-54.18,-400.5,75.0S,0.07E,Ice Sheet
201312172200,-56.265,-403.3,75.0S,0.07E,Ice Sheet
201312172300,-58.5,-405.3,75.0S,0.07E,Ice Sheet
201312180000,-54.88,-404.55,75.0S,0.07E,Ice Sheet
201312180100,-57.94,-419.7,75.0S,0.07E,Ice Sheet
201312180200,-57.16,-412.05,75.0S,0.07E,Ice Sheet
201312180300,-58.005,-412.35,75.0S,0.07E,Ice Sheet
201312180400,-56.515,-409.35,75.0S,0.07E,Ice Sheet
201312180500,-55.34,-408.7,75.0S,0.07E,Ice Sheet
201312180600,-53.135,-397.65,75.0S,0.07E,Ice Sheet
201312180700,-52.04,-389.8,75.0S,0.07E,Ice Sheet
201312180800,-52.39,-390.4,75.0S,0.07E,Ice Sheet
201312180900,-51.925,-383.75,75.0S,0.07E,Ice Sheet
201312181000,-51.73,-388.9,75.0S,0.07E,Ice Sheet
201312181100,-51.295,-382.3,75.0S,0.07E,Ice Sheet
201312181200,-51.9,-383,75.0S,0.07E,Ice Sheet
201312181300,-51.44,-380.05,75.0S,0.07E,Ice Sheet
201312181400,-50.735,-379.05,75.0S,0.07E,Ice Sheet
201312181500,-48.09,-363.3,75.0S,0.07E,Ice Sheet
201312181600,-47.685,-359.05,75.0S,0.07E,Ice Sheet
201312181700,-47.78,-360.45,75.0S,0.07E,Ice Sheet
201312181800,-47.3,-360.6,75.0S,0.07E,Ice Sheet
201312181900,-48.08,-361.2,75.0S,0.07E,Ice Sheet
201312182000,-49.42,-360.2,75.0S,0.07E,Ice Sheet
201312182100,-50.6,-370.15,75.0S,0.07E,Ice Sheet
201312182200,-50.22,-369.6,75.0S,0.07E,Ice Sheet
201312182300,-49.845,-373.55,75.0S,0.07E,Ice Sheet
201312190000,-51.22,-384,75.0S,0.07E,Ice Sheet
201312190100,-51.28,-385.4,75.0S,0.07E,Ice Sheet
201312190200,-51.65,-383.25,75.0S,0.07E,Ice Sheet
201312190300,-50.93,-381.1,75.0S,0.07E,Ice Sheet
201312190400,-51.04,-380.25,75.0S,0.07E,Ice Sheet
201312190500,-51.04,-385.8,75.0S,0.07E,Ice Sheet
201312190600,-51.52,-387,75.0S,0.07E,Ice Sheet
201312190700,-50.955,-384.25,75.0S,0.07E,Ice Sheet
201312190800,-49.66,-378.9,75.0S,0.07E,Ice Sheet
201312190900,-49.48,-372.5,75.0S,0.07E,Ice Sheet
201312191000,-49.125,-371.7,75.0S,0.07E,Ice Sheet
201312191100,-49.12,-371,75.0S,0.07E,Ice Sheet
201312191200,-48.93,-372.25,75.0S,0.07E,Ice Sheet
201312191300,-49.705,-375.4,75.0S,0.07E,Ice Sheet
201312191400,-50.29,-379.5,75.0S,0.07E,Ice Sheet
201312191500,-49.945,-378.35,75.0S,0.07E,Ice Sheet
201312191600,-50.48,-382.5,75.0S,0.07E,Ice Sheet
201312191700,-51.655,-387.9,75.0S,0.07E,Ice Sheet
201312191800,-52.125,-392.15,75.0S,0.07E,Ice Sheet
201312191900,-53.42,-400.1,75.0S,0.07E,Ice Sheet
201312192000,-53.61,-401.25,75.0S,0.07E,Ice Sheet
201312192100,-54.14,-404.15,75.0S,0.07E,Ice Sheet
201312192200,-54.74,-410.1,75.0S,0.07E,Ice Sheet
201312192300,-55.705,-412.7,75.0S,0.07E,Ice Sheet
201312200000,-57.6,-416.2,75.0S,0.07E,Ice Sheet
201312200100,-57.565,-417.55,75.0S,0.07E,Ice Sheet
201312200200,-56.355,-422.9,75.0S,0.07E,Ice Sheet
201312200300,-55.78,-419.4,75.0S,0.07E,Ice Sheet
201312200400,-56.18,-418.6,75.0S,0.07E,Ice Sheet
201312200500,-56.97,-419,75.0S,0.07E,Ice Sheet
201312200600,-57.265,-418.95,75.0S,0.07E,Ice Sheet
201312200700,-55.675,-413.2,75.0S,0.07E,Ice Sheet
201312200800,-55.01,-410.1,75.0S,0.07E,Ice Sheet
201312200900,-54.415,-410.55,75.0S,0.07E,Ice Sheet
201312201000,-55.12,-406.55,75.0S,0.07E,Ice Sheet
201312201100,-53.85,-402.7,75.0S,0.07E,Ice Sheet
201312201200,-53.77,-400.3,75.0S,0.07E,Ice Sheet
201312201300,-53.03,-397,75.0S,0.07E,Ice Sheet
201312201400,-53.335,-395.65,75.0S,0.07E,Ice Sheet
201312201500,-52.685,-393.4,75.0S,0.07E,Ice Sheet
201312201600,-52.6,-392.3,75.0S,0.07E,Ice Sheet
201312201700,-52.51,-394.55,75.0S,0.07E,Ice Sheet
201312201800,-53.32,-397,75.0S,0.07E,Ice Sheet
201312201900,-53.775,-403.25,75.0S,0.07E,Ice Sheet
201312202100,-55.67,-411.3,75.0S,0.07E,Ice Sheet
201312202200,-55.94,-415.15,75.0S,0.07E,Ice Sheet
201312202300,-56.34,-420.75,75.0S,0.07E,Ice Sheet
201312210000,-57.89,-422.6,75.0S,0.07E,Ice Sheet
201312210100,-57.435,-423.95,75.0S,0.07E,Ice Sheet
201312210200,-56.21,-418.1,75.0S,0.07E,Ice Sheet
201312210300,-57.065,-419.2,75.0S,0.07E,Ice Sheet
201312210400,-56.735,-415.8,75.0S,0.07E,Ice Sheet
201312210500,-55.4,-418.7,75.0S,0.07E,Ice Sheet
201312210600,-54.975,-412.7,75.0S,0.07E,Ice Sheet
201312210700,-54.92,-414.4,75.0S,0.07E,Ice Sheet
201312210800,-53.175,-406.4,75.0S,0.07E,Ice Sheet
201312210900,-53.975,-401.65,75.0S,0.07E,Ice Sheet
201312211000,-53.9,-399.2,75.0S,0.07E,Ice Sheet
201312211100,-53.405,-398.15,75.0S,0.07E,Ice Sheet
201312211200,-52.645,-395.25,75.0S,0.07E,Ice Sheet
201312211300,-52.79,-396.7,75.0S,0.07E,Ice Sheet
201312211400,-52.225,-395.85,75.0S,0.07E,Ice Sheet
201312211500,-50.69,-384.6,75.0S,0.07E,Ice Sheet
201312211600,-50.255,-383.35,75.0S,0.07E,Ice Sheet
201312211700,-50.885,-387.4,75.0S,0.07E,Ice Sheet
201312211800,-52.11,-395.4,75.0S,0.07E,Ice Sheet
201312211900,-53.28,-401.9,75.0S,0.07E,Ice Sheet
201312212000,-54.26,-407.7,75.0S,0.07E,Ice Sheet
201312212100,-55.175,-415.25,75.0S,0.07E,Ice Sheet
201312212200,-55.01,-412.3,75.0S,0.07E,Ice Sheet
201312212300,-56.03,-416.3,75.0S,0.07E,Ice Sheet
201312220000,-56.665,-419.85,75.0S,0.07E,Ice Sheet
201312220100,-56.345,-418.4,75.0S,0.07E,Ice Sheet
201312220200,-56.55,-419,75.0S,0.07E,Ice Sheet
201312220300,-57.165,-421.6,75.0S,0.07E,Ice Sheet
201312220400,-56.36,-419.3,75.0S,0.07E,Ice Sheet
201312220500,-55.41,-420.1,75.0S,0.07E,Ice Sheet
201312220600,-54.385,-411.45,75.0S,0.07E,Ice Sheet
201312220700,-53.49,-407.2,75.0S,0.07E,Ice Sheet
201312220800,-52.93,-400.25,75.0S,0.07E,Ice Sheet
201312220900,-52.76,-396,75.0S,0.07E,Ice Sheet
