TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201404101915,-12.03,"	-74.93",16.79S,145.70E,Coast
201404101915,-11.99,"	-74.94",16.79S,145.70E,Coast
201404101916,-11.9,"	-75.01",16.79S,145.70E,Coast
201404101916,-11.87,"	-75.09",16.79S,145.70E,Coast
201404101917,-11.97,"	-75.13",16.79S,145.70E,Coast
201404101917,-11.95,"	-75.27",16.79S,145.70E,Coast
201404101917,-11.99,"	-75.34",16.79S,145.70E,Coast
201404101918,-11.99,"	-75.12",16.79S,145.70E,Coast
201404101918,-11.96,"	-75.12",16.79S,145.70E,Coast
201404101919,-11.92,"	-75.09",16.79S,145.70E,Coast
201404101919,-11.83,"	-74.93",16.79S,145.70E,Coast
201404101920,-11.83,"	-74.90",16.79S,145.70E,Coast
201404101920,-11.95,"	-74.86",16.79S,145.70E,Coast
201404101920,-11.89,"	-74.98",16.79S,145.70E,Coast
201404101921,-11.88,"	-75.03",16.79S,145.70E,Coast
201404101921,-11.92,"	-75.13",16.79S,145.70E,Coast
201404101922,-11.93,"	-75.03",16.79S,145.70E,Coast
201404101922,-11.92,"	-75.39",16.79S,145.70E,Coast
201404101923,-12.03,"	-75.32",16.79S,145.70E,Coast
201404101923,-11.96,"	-75.25",16.79S,145.70E,Coast
201404101923,-11.94,"	-75.36",16.79S,145.70E,Coast
201404101924,-11.9,"	-75.47",16.79S,145.70E,Coast
201404101924,-11.95,"	-75.17",16.79S,145.70E,Coast
201404101925,-11.88,"	-75.29",16.79S,145.70E,Coast
201404101925,-11.91,"	-75.20",16.79S,145.70E,Coast
201404101926,-11.89,"	-75.20",16.79S,145.70E,Coast
201404101926,-11.85,"	-75.27",16.79S,145.70E,Coast
201404101926,-11.88,"	-75.31",16.79S,145.70E,Coast
201404101927,-11.91,"	-75.23",16.79S,145.70E,Coast
201404101927,-11.95,"	-75.35",16.79S,145.70E,Coast
201404101928,-11.87,"	-75.31",16.79S,145.70E,Coast
201404101928,-11.89,"	-75.28",16.79S,145.70E,Coast
201404101929,-11.87,"	-75.16",16.79S,145.70E,Coast
201404101929,-11.87,"	-75.06",16.79S,145.70E,Coast
201404101929,-11.87,"	-75.03",16.79S,145.70E,Coast
201404101930,-11.85,"	-75.10",16.79S,145.70E,Coast
201404101930,-11.85,"	-74.90",16.79S,145.70E,Coast
201404101931,-11.85,"	-75.00",16.79S,145.70E,Coast
201404101931,-11.85,"	-74.91",16.79S,145.70E,Coast
201404101932,-11.83,"	-75.18",16.79S,145.70E,Coast
201404101932,-11.88,"	-75.36",16.79S,145.70E,Coast
201404101932,-11.85,"	-75.42",16.79S,145.70E,Coast
201404101933,-11.89,"	-75.24",16.79S,145.70E,Coast
201404101933,-11.89,"	-75.22",16.79S,145.70E,Coast
201404101934,-11.88,"	-75.30",16.79S,145.70E,Coast
201404101934,-11.92,"	-75.47",16.79S,145.70E,Coast
201404101935,-11.94,"	-75.34",16.79S,145.70E,Coast
201404101935,-11.9,"	-75.46",16.79S,145.70E,Coast
201404101935,-11.89,"	-75.35",16.79S,145.70E,Coast
201404101936,-11.86,"	-75.29",16.79S,145.70E,Coast
