TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201108010000,-17.05,-121.63,47.38N,8.99E,Grassland
201108010100,-16.94,-120.74,47.38N,8.99E,Grassland
201108010200,-16.9,-120.82,47.38N,8.99E,Grassland
201108010300,-16.86,-119.79,47.38N,8.99E,Grassland
201108010400,-16.72,-120.49,47.38N,8.99E,Grassland
201108010500,-16.61,-119.8,47.38N,8.99E,Grassland
201108010600,-16.59,-119.68,47.38N,8.99E,Grassland
201108010700,-16.49,-119.12,47.38N,8.99E,Grassland
201108010800,-16.52,-118.82,47.38N,8.99E,Grassland
201108010900,-16.52,-118.44,47.38N,8.99E,Grassland
201108011000,-16.41,-116.91,47.38N,8.99E,Grassland
201108011100,-16.16,-113.96,47.38N,8.99E,Grassland
201108011200,-15.81,-111.28,47.38N,8.99E,Grassland
201108011300,-15.72,-110.54,47.38N,8.99E,Grassland
201108011400,-15.76,-110.57,47.38N,8.99E,Grassland
201108011500,-15.69,-108.78,47.38N,8.99E,Grassland
201108011600,-15.6,-109.26,47.38N,8.99E,Grassland
201108011700,-15.46,-109.1,47.38N,8.99E,Grassland
201108011800,-15.05,-110.06,47.38N,8.99E,Grassland
201108011900,-15.76,-115.24,47.38N,8.99E,Grassland
201108012000,-16.14,-118.02,47.38N,8.99E,Grassland
201108012100,-16.34,-118.88,47.38N,8.99E,Grassland
201108012200,-16.86,-122.35,47.38N,8.99E,Grassland
201108012300,-16.9,-122.69,47.38N,8.99E,Grassland
201108020000,-16.57,-121.85,47.38N,8.99E,Grassland
201108020100,-16.67,-122.31,47.38N,8.99E,Grassland
201108020200,-16.86,-123.63,47.38N,8.99E,Grassland
201108020300,-16.7,-122.49,47.38N,8.99E,Grassland
201108020400,-16.95,-124.74,47.38N,8.99E,Grassland
201108020500,-16.51,-120.01,47.38N,8.99E,Grassland
201108020600,-15.54,-109.78,47.38N,8.99E,Grassland
201108020700,-15,-105.83,47.38N,8.99E,Grassland
201108020800,-14.69,-103.36,47.38N,8.99E,Grassland
201108020900,-14.38,-101.46,47.38N,8.99E,Grassland
201108021000,-14.34,-100.4,47.38N,8.99E,Grassland
201108021100,-14.29,-99.9,47.38N,8.99E,Grassland
201108021200,-14.21,-99.13,47.38N,8.99E,Grassland
201108021300,-14.32,-99.62,47.38N,8.99E,Grassland
201108021400,-14.32,-99.71,47.38N,8.99E,Grassland
201108021500,-14.4,-99.35,47.38N,8.99E,Grassland
201108021600,-14.04,-98.49,47.38N,8.99E,Grassland
201108021700,-13.56,-97.37,47.38N,8.99E,Grassland
201108021800,-13.71,-100.7,47.38N,8.99E,Grassland
201108021900,-14.57,-105.65,47.38N,8.99E,Grassland
201108022000,-14.76,-106.83,47.38N,8.99E,Grassland
201108022100,-15.06,-108.68,47.38N,8.99E,Grassland
201108022200,-15.35,-109.82,47.38N,8.99E,Grassland
201108022300,-15.69,-111.22,47.38N,8.99E,Grassland
201108030000,-15.9,-111.62,47.38N,8.99E,Grassland
201108030100,-16,-111.92,47.38N,8.99E,Grassland
201108030200,-16.06,-112.27,47.38N,8.99E,Grassland
201108030300,-15.94,-110.73,47.38N,8.99E,Grassland
201108030400,-15.61,-109.56,47.38N,8.99E,Grassland
201108030500,-15.07,-104.66,47.38N,8.99E,Grassland
201108030600,-14.22,-98.84,47.38N,8.99E,Grassland
201108030700,-13.79,-96.51,47.38N,8.99E,Grassland
201108030800,-14.26,-99.17,47.38N,8.99E,Grassland
201108030900,-13.86,-96.65,47.38N,8.99E,Grassland
201108031000,-12.84,-92.98,47.38N,8.99E,Grassland
201108031100,-12.59,-91.66,47.38N,8.99E,Grassland
201108031200,-12.4,-89.94,47.38N,8.99E,Grassland
201108031300,-12.63,-89.93,47.38N,8.99E,Grassland
201108031400,-12.89,-89.8,47.38N,8.99E,Grassland
201108031500,-12.86,-88.4,47.38N,8.99E,Grassland
201108031600,-13.68,-93.87,47.38N,8.99E,Grassland
201108031700,-13.53,-93.47,47.38N,8.99E,Grassland
201108031800,-14.06,-97.21,47.38N,8.99E,Grassland
201108031900,-13.8,-97.13,47.38N,8.99E,Grassland
201108032000,-13.84,-95.64,47.38N,8.99E,Grassland
201108032100,-13.71,-92.8,47.38N,8.99E,Grassland
201108032200,-13.46,-91.24,47.38N,8.99E,Grassland
201108032300,-13.45,-91.07,47.38N,8.99E,Grassland
201108040000,-13.74,-93.61,47.38N,8.99E,Grassland
201108040100,-13.72,-93.89,47.38N,8.99E,Grassland
201108040200,-13.81,-94.87,47.38N,8.99E,Grassland
201108040300,-14.01,-96.07,47.38N,8.99E,Grassland
201108040400,-14.02,-97.43,47.38N,8.99E,Grassland
201108040500,-14.04,-96.76,47.38N,8.99E,Grassland
201108040600,-14.03,-96.56,47.38N,8.99E,Grassland
201108040700,-14.06,-96.28,47.38N,8.99E,Grassland
201108040800,-14.08,-96.23,47.38N,8.99E,Grassland
201108040900,-14.11,-96.58,47.38N,8.99E,Grassland
201108041000,-14.26,-97.31,47.38N,8.99E,Grassland
201108041100,-14.42,-99.32,47.38N,8.99E,Grassland
201108041200,-14.74,-101.71,47.38N,8.99E,Grassland
201108041300,-14.59,-100.23,47.38N,8.99E,Grassland
201108041400,-14.49,-99.45,47.38N,8.99E,Grassland
201108041500,-14.52,-98.7,47.38N,8.99E,Grassland
201108041600,-14.33,-98.72,47.38N,8.99E,Grassland
201108041700,-13.46,-94.93,47.38N,8.99E,Grassland
201108041800,-12.95,-95.49,47.38N,8.99E,Grassland
201108041900,-13.64,-99.64,47.38N,8.99E,Grassland
201108042000,-14.08,-102.53,47.38N,8.99E,Grassland
201108042100,-14.44,-103.95,47.38N,8.99E,Grassland
201108042200,-14.64,-103.29,47.38N,8.99E,Grassland
201108042300,-14.44,-101.18,47.38N,8.99E,Grassland
201108050000,-14.54,-100.41,47.38N,8.99E,Grassland
201108050100,-14.14,-96.3,47.38N,8.99E,Grassland
201108050200,-14.23,-97.05,47.38N,8.99E,Grassland
201108050300,-14.38,-97.29,47.38N,8.99E,Grassland
201108050400,-14.06,-98.44,47.38N,8.99E,Grassland
201108050500,-14.01,-97.98,47.38N,8.99E,Grassland
201108050600,-14.23,-98.63,47.38N,8.99E,Grassland
201108050700,-14.23,-98.14,47.38N,8.99E,Grassland
201108050800,-14.35,-98.58,47.38N,8.99E,Grassland
201108050900,-14.01,-96.34,47.38N,8.99E,Grassland
201108051000,-14.32,-97.88,47.38N,8.99E,Grassland
201108051100,-14.02,-95.4,47.38N,8.99E,Grassland
201108051200,-13.98,-94.39,47.38N,8.99E,Grassland
201108051300,-13.9,-94.42,47.38N,8.99E,Grassland
201108051400,-14.04,-95.09,47.38N,8.99E,Grassland
201108051500,-13.91,-93.51,47.38N,8.99E,Grassland
201108051600,-13.75,-93.35,47.38N,8.99E,Grassland
201108051700,-12.96,-90.15,47.38N,8.99E,Grassland
201108051800,-13.37,-93.73,47.38N,8.99E,Grassland
201108051900,-15.38,-108.66,47.38N,8.99E,Grassland
201108052000,-18.87,-135.6,47.38N,8.99E,Grassland
201108052100,-18.38,-133.32,47.38N,8.99E,Grassland
201108052200,-18.02,-130.49,47.38N,8.99E,Grassland
201108052300,-17.93,-129.9,47.38N,8.99E,Grassland
201108060000,-17.33,-124.63,47.38N,8.99E,Grassland
201108060100,-17.17,-123.68,47.38N,8.99E,Grassland
201108060200,-17.24,-124.77,47.38N,8.99E,Grassland
201108060300,-17.47,-126.19,47.38N,8.99E,Grassland
201108060400,-17.65,-128.47,47.38N,8.99E,Grassland
201108060500,-17.44,-125.11,47.38N,8.99E,Grassland
201108060600,-16.46,-116.23,47.38N,8.99E,Grassland
201108060700,-15.81,-111.11,47.38N,8.99E,Grassland
201108060800,-15.41,-107.7,47.38N,8.99E,Grassland
201108060900,-15.23,-106.02,47.38N,8.99E,Grassland
201108061000,-15.01,-103.82,47.38N,8.99E,Grassland
201108061100,-14.89,-102.93,47.38N,8.99E,Grassland
201108061200,-14.84,-103.21,47.38N,8.99E,Grassland
201108061300,-15.03,-104.45,47.38N,8.99E,Grassland
201108061400,-14.88,-103.81,47.38N,8.99E,Grassland
201108061500,-15.22,-104.21,47.38N,8.99E,Grassland
201108061600,-15.18,-104.99,47.38N,8.99E,Grassland
201108061700,-14.55,-102.54,47.38N,8.99E,Grassland
201108061800,-13.85,-100.01,47.38N,8.99E,Grassland
201108061900,-13.99,-101.91,47.38N,8.99E,Grassland
201108062000,-14.32,-105.25,47.38N,8.99E,Grassland
201108062100,-14.87,-108.08,47.38N,8.99E,Grassland
201108062200,-14.88,-107.43,47.38N,8.99E,Grassland
201108062300,-14.7,-104.33,47.38N,8.99E,Grassland
201108070000,-16.07,-111.45,47.38N,8.99E,Grassland
201108070100,-16.72,-118.57,47.38N,8.99E,Grassland
201108070200,-17.37,-123.3,47.38N,8.99E,Grassland
201108070300,-17.58,-123.99,47.38N,8.99E,Grassland
201108070400,-17.62,-125.45,47.38N,8.99E,Grassland
201108070500,-17.45,-123.91,47.38N,8.99E,Grassland
201108070600,-17.8,-125.6,47.38N,8.99E,Grassland
201108070700,-18.9,-134.73,47.38N,8.99E,Grassland
201108070800,-18.87,-135.86,47.38N,8.99E,Grassland
201108070900,-18.38,-131.14,47.38N,8.99E,Grassland
201108071000,-17.71,-125.25,47.38N,8.99E,Grassland
