TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
200612101700,-9999,-9999,40.0N,116.05E,Urban
200612101800,-24.09,-178.5,40.0N,116.05E,Urban
200612101900,-24.1,-190,40.0N,116.05E,Urban
200612102000,-23.88,-186.9,40.0N,116.05E,Urban
200612102100,-23.6,-178.3,40.0N,116.05E,Urban
200612102200,-24.3,-192.2,40.0N,116.05E,Urban
200612102300,-25.58,-185.8,40.0N,116.05E,Urban
200612110000,-24.43,-187.8,40.0N,116.05E,Urban
200612110100,-9999,-9999,40.0N,116.05E,Urban
200612110200,-9999,-9999,40.0N,116.05E,Urban
200612110300,-25.23,-187.8,40.0N,116.05E,Urban
200612110400,-25.31,-196.9,40.0N,116.05E,Urban
200612110500,-23.76,-170.7,40.0N,116.05E,Urban
200612110600,-23.74,-157.4,40.0N,116.05E,Urban
200612110700,-23.4,-182.5,40.0N,116.05E,Urban
200612110800,-22.83,-184.4,40.0N,116.05E,Urban
200612110900,-22.5,-169.8,40.0N,116.05E,Urban
200612111000,-21.46,-165.3,40.0N,116.05E,Urban
200612111100,-19.78,-158,40.0N,116.05E,Urban
200612111200,-19.91,-158.5,40.0N,116.05E,Urban
200612111300,-19.67,-152.1,40.0N,116.05E,Urban
200612111400,-19.46,-158.9,40.0N,116.05E,Urban
200612111500,-20.02,-160.8,40.0N,116.05E,Urban
200612111600,-21.59,-167.7,40.0N,116.05E,Urban
200612111700,-20.78,-163,40.0N,116.05E,Urban
200612111800,-20.04,-154.1,40.0N,116.05E,Urban
200612111900,-20.1,-162.8,40.0N,116.05E,Urban
200612112000,-20.75,-162.1,40.0N,116.05E,Urban
200612112100,-21.01,-166.5,40.0N,116.05E,Urban
200612112200,-20.98,-164.6,40.0N,116.05E,Urban
200612112300,-20.5,-162.9,40.0N,116.05E,Urban
200612120000,-20.65,-170.4,40.0N,116.05E,Urban
200612120100,-20.73,-192.6,40.0N,116.05E,Urban
200612120200,-24.89,-215.7,40.0N,116.05E,Urban
200612120300,-22.53,-177.6,40.0N,116.05E,Urban
200612120400,-22.79,-183.1,40.0N,116.05E,Urban
200612120500,-29.07,-225.2,40.0N,116.05E,Urban
200612120600,-31.1,-227,40.0N,116.05E,Urban
200612120700,-33.7,-262.2,40.0N,116.05E,Urban
200612120800,-33.99,-246.8,40.0N,116.05E,Urban
200612120900,-33.76,-261.7,40.0N,116.05E,Urban
200612121000,-34.13,-257.3,40.0N,116.05E,Urban
200612121100,-34.09,-250.2,40.0N,116.05E,Urban
200612121200,-34.26,-264.2,40.0N,116.05E,Urban
200612121300,-33.9,-250.2,40.0N,116.05E,Urban
200612121400,-32.1,-248.5,40.0N,116.05E,Urban
200612121500,-31.49,-244.2,40.0N,116.05E,Urban
200612121600,-31.76,-237.4,40.0N,116.05E,Urban
200612121700,-30.11,-231.7,40.0N,116.05E,Urban
200612121800,-33.14,-232.8,40.0N,116.05E,Urban
200612121900,-32.87,-235,40.0N,116.05E,Urban
200612122000,-32.12,-245.7,40.0N,116.05E,Urban
200612122100,-31.94,-247,40.0N,116.05E,Urban
200612122200,-32.07,-247.8,40.0N,116.05E,Urban
200612122300,-32.51,-248.8,40.0N,116.05E,Urban
200612130000,-32.22,-255.8,40.0N,116.05E,Urban
200612130100,-9999,-9999,40.0N,116.05E,Urban
200612130200,-33.36,-260.2,40.0N,116.05E,Urban
200612130300,-33.1,-248.1,40.0N,116.05E,Urban
200612130400,-33.08,-243.7,40.0N,116.05E,Urban
200612130500,-9999,-9999,40.0N,116.05E,Urban
200612130600,-33.4,-216.4,40.0N,116.05E,Urban
200612130700,-33.82,-255.4,40.0N,116.05E,Urban
200612130800,-33.87,-256.9,40.0N,116.05E,Urban
200612130900,-33.04,-240,40.0N,116.05E,Urban
200612131000,-29.86,-232.8,40.0N,116.05E,Urban
200612131100,-27.56,-209.1,40.0N,116.05E,Urban
200612131200,-26.16,-203.6,40.0N,116.05E,Urban
200612131300,-24.47,-200.5,40.0N,116.05E,Urban
200612131400,-25.53,-202.4,40.0N,116.05E,Urban
200612131500,-27.01,-204.9,40.0N,116.05E,Urban
200612131600,-25.8,-199,40.0N,116.05E,Urban
200612131700,-27.4,-207.6,40.0N,116.05E,Urban
200612131800,-27.28,-207.9,40.0N,116.05E,Urban
200612131900,-26.44,-201.8,40.0N,116.05E,Urban
