TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
200906011600,-22.63,-174,42.03N,116.12E,Grassland
200906011700,-21.8,-173.5,42.03N,116.12E,Grassland
200906011800,-20.33,-169.5,42.03N,116.12E,Grassland
200906011900,-20.14,-164.8,42.03N,116.12E,Grassland
200906012000,-19.97,-165.4,42.03N,116.12E,Grassland
200906012100,-20.14,-172.1,42.03N,116.12E,Grassland
200906012200,-21.58,-165.4,42.03N,116.12E,Grassland
200906012300,-24.57,-175.3,42.03N,116.12E,Grassland
200906020000,-28.96,-209.8,42.03N,116.12E,Grassland
200906020100,-9999,-9999,42.03N,116.12E,Grassland
200906020200,-9999,-9999,42.03N,116.12E,Grassland
200906020300,-9999,-9999,42.03N,116.12E,Grassland
200906020400,-9999,-9999,42.03N,116.12E,Grassland
200906020500,-9999,-9999,42.03N,116.12E,Grassland
200906020600,-9999,-9999,42.03N,116.12E,Grassland
200906020700,-9999,-9999,42.03N,116.12E,Grassland
200906020800,-9999,-9999,42.03N,116.12E,Grassland
200906020900,-9999,-9999,42.03N,116.12E,Grassland
200906021000,-9999,-9999,42.03N,116.12E,Grassland
200906021100,-9999,-9999,42.03N,116.12E,Grassland
200906021200,-9999,-9999,42.03N,116.12E,Grassland
200906021300,-24.93,-188.4,42.03N,116.12E,Grassland
200906021400,-23.96,-192.7,42.03N,116.12E,Grassland
200906021500,-23.82,-193.8,42.03N,116.12E,Grassland
200906021600,-23.58,-180.5,42.03N,116.12E,Grassland
200906021700,-23.02,-187.1,42.03N,116.12E,Grassland
200906021800,-22.88,-185.9,42.03N,116.12E,Grassland
200906021900,-23.52,-183.7,42.03N,116.12E,Grassland
200906022000,-24.25,-187,42.03N,116.12E,Grassland
200906022100,-24.64,-188.7,42.03N,116.12E,Grassland
200906022200,-24.96,-195.5,42.03N,116.12E,Grassland
200906022300,-9999,-9999,42.03N,116.12E,Grassland
200906030000,-9999,-9999,42.03N,116.12E,Grassland
200906030100,-9999,-9999,42.03N,116.12E,Grassland
200906030200,-9999,-9999,42.03N,116.12E,Grassland
200906030300,-9999,-9999,42.03N,116.12E,Grassland
200906030400,-25.74,-194.8,42.03N,116.12E,Grassland
200906030500,-25.66,-187.8,42.03N,116.12E,Grassland
200906030600,-25.48,-184.3,42.03N,116.12E,Grassland
200906030700,-24.88,-182.4,42.03N,116.12E,Grassland
200906030800,-9999,-9999,42.03N,116.12E,Grassland
200906030900,-26.21,-194.5,42.03N,116.12E,Grassland
200906031000,-25.93,-197.8,42.03N,116.12E,Grassland
200906031100,-24.2,-190.9,42.03N,116.12E,Grassland
200906031200,-22.83,-184,42.03N,116.12E,Grassland
200906031300,-22.56,-179.7,42.03N,116.12E,Grassland
200906031400,-21.94,-182.6,42.03N,116.12E,Grassland
200906031500,-20.96,-179,42.03N,116.12E,Grassland
200906031600,-21.84,-171.1,42.03N,116.12E,Grassland
200906031700,-22.79,-179.8,42.03N,116.12E,Grassland
200906031800,-23.26,-179,42.03N,116.12E,Grassland
200906031900,-22.59,-167.6,42.03N,116.12E,Grassland
200906032000,-21.82,-175,42.03N,116.12E,Grassland
200906032100,-20.51,-168.4,42.03N,116.12E,Grassland
200906032200,-19.77,-150.1,42.03N,116.12E,Grassland
200906032300,-20,-146.7,42.03N,116.12E,Grassland
200906040000,-19.74,-141.5,42.03N,116.12E,Grassland
200906040100,-21.76,-165.1,42.03N,116.12E,Grassland
200906040200,-23.45,-169.5,42.03N,116.12E,Grassland
200906040300,-24.12,-176,42.03N,116.12E,Grassland
200906040400,-24.89,-184,42.03N,116.12E,Grassland
200906040500,-25.52,-187.9,42.03N,116.12E,Grassland
200906040600,-25.3,-194.5,42.03N,116.12E,Grassland
200906040700,-23.43,-174.6,42.03N,116.12E,Grassland
200906040800,-26.2,-189.3,42.03N,116.12E,Grassland
200906040900,-27.4,-202.6,42.03N,116.12E,Grassland
200906041000,-27.72,-208.1,42.03N,116.12E,Grassland
200906041100,-27.05,-198.8,42.03N,116.12E,Grassland
200906041200,-26.67,-203.6,42.03N,116.12E,Grassland
200906041300,-26.96,-200.4,42.03N,116.12E,Grassland
200906041400,-26.49,-207.5,42.03N,116.12E,Grassland
200906041500,-26.32,-203.1,42.03N,116.12E,Grassland
200906041600,-26.64,-209.4,42.03N,116.12E,Grassland
200906041700,-25.52,-205.6,42.03N,116.12E,Grassland
200906041800,-23.56,-198.5,42.03N,116.12E,Grassland
200906041900,-23.94,-192.9,42.03N,116.12E,Grassland
200906042000,-24.37,-197.4,42.03N,116.12E,Grassland
200906042100,-24.42,-200.1,42.03N,116.12E,Grassland
200906042200,-26.74,-204.4,42.03N,116.12E,Grassland
200906042300,-28.71,-207.4,42.03N,116.12E,Grassland
200906050000,-30.78,-220.3,42.03N,116.12E,Grassland
200906050100,-30.69,-222.6,42.03N,116.12E,Grassland
200906050200,-30.32,-225.5,42.03N,116.12E,Grassland
