TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201507190400,-15.85,-102.715,21.57N,109.75E,Coast
201507190500,-15.45,-100.43,21.57N,109.75E,Coast
201507190600,-14.715,-97.05,21.57N,109.75E,Coast
201507190700,-14.52,-96.37,21.57N,109.75E,Coast
201507200100,-14.77,-100.39,21.57N,109.75E,Coast
201507200200,-14.87333333,-100.59,21.57N,109.75E,Coast
201507200300,-14.81,-99.97,21.57N,109.75E,Coast
201507200400,-14.715,-99.515,21.57N,109.75E,Coast
201507200500,-14.315,-98.235,21.57N,109.75E,Coast
201507200600,-14.31,-99.61,21.57N,109.75E,Coast
201507200700,-14.09,-99.39,21.57N,109.75E,Coast
201507220100,-13.18,-92.15,21.57N,109.75E,Coast
201507220200,-13.21,-92.435,21.57N,109.75E,Coast
201507220300,-13.02,-91.525,21.57N,109.75E,Coast
201507220400,-12.955,-90.77,21.57N,109.75E,Coast
201507220500,-13.025,-90.465,21.57N,109.75E,Coast
201507220600,-13.00666667,-90.80333333,21.57N,109.75E,Coast
201507220700,-13.31,-92.53,21.57N,109.75E,Coast
201507220800,-13.13,-91.25,21.57N,109.75E,Coast
201507230100,-13.22,-92.89,21.57N,109.75E,Coast
201507230200,-13.245,-92.475,21.57N,109.75E,Coast
201507230300,-14.09,-93.05,21.57N,109.75E,Coast
201507230400,-13.74,-91.295,21.57N,109.75E,Coast
201507230500,-13.475,-90.75,21.57N,109.75E,Coast
201507230600,-12.945,-88.375,21.57N,109.75E,Coast
201507230700,-12.255,-85.57,21.57N,109.75E,Coast
201507230800,-12.135,-85.35,21.57N,109.75E,Coast
201507230900,-11.985,-84.94,21.57N,109.75E,Coast
201507231000,-12.05,-84.21,21.57N,109.75E,Coast
201507231100,-15.3,-106.4,21.57N,109.75E,Coast
201507231200,-15.43,-107.605,21.57N,109.75E,Coast
201507231300,-15.02,-104.845,21.57N,109.75E,Coast
201507231400,-14.095,-98.99,21.57N,109.75E,Coast
201507231500,-12.725,-87.235,21.57N,109.75E,Coast
201507231600,-12.46,-85.42,21.57N,109.75E,Coast
