TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201205160100,-22.140287,-158.455695,38.017N,100.03E,Cropland
201205160200,-14.32332536,-104.6848471,38.017N,100.03E,Cropland
201205160300,-16.1721666,-119.863908,38.017N,100.03E,Cropland
201205160400,-18.16426575,-135.9599713,38.017N,100.03E,Cropland
201205160500,-20.1388464,-157.622825,38.017N,100.03E,Cropland
201205160600,-20.99510262,-166.7635123,38.017N,100.03E,Cropland
201205160700,-20.46139044,-163.7162522,38.017N,100.03E,Cropland
201205160800,-20.92064838,-165.4893788,38.017N,100.03E,Cropland
201205160900,-21.34914367,-170.4884683,38.017N,100.03E,Cropland
201205161000,-22.53699655,-163.27567,38.017N,100.03E,Cropland
201205161100,-23.705767,-173.2000078,38.017N,100.03E,Cropland
201205161200,-24.3031665,-179.2521963,38.017N,100.03E,Cropland
201205161300,-25.22901464,-186.7864321,38.017N,100.03E,Cropland
201205161400,-22.77041378,-164.1939589,38.017N,100.03E,Cropland
201205161500,-22.19908533,-159.6083411,38.017N,100.03E,Cropland
201205161600,-20.5110169,-146.176943,38.017N,100.03E,Cropland
201205161700,-18.16159708,-132.5956854,38.017N,100.03E,Cropland
201205161800,-16.29547663,-119.149915,38.017N,100.03E,Cropland
201205161900,-16.33224267,-121.2063933,38.017N,100.03E,Cropland
201205162000,-15.32198367,-114.695935,38.017N,100.03E,Cropland
201205162100,-17.56297473,-123.2643091,38.017N,100.03E,Cropland
201205162200,-15.70792463,-114.6087513,38.017N,100.03E,Cropland
201205162300,-14.44977333,-106.4977522,38.017N,100.03E,Cropland
201205170000,-14.94065236,-107.4434443,38.017N,100.03E,Cropland
201205170100,-16.59806544,-110.5332444,38.017N,100.03E,Cropland
201205170200,-17.69497029,-117.9209,38.017N,100.03E,Cropland
201205170300,-18.36410767,-126.0332483,38.017N,100.03E,Cropland
201205170400,-19.49578618,-136.7325418,38.017N,100.03E,Cropland
201205170500,-19.50439811,-138.8746267,38.017N,100.03E,Cropland
201205170600,-19.86868075,-143.6547875,38.017N,100.03E,Cropland
201205170700,-20.94176671,-153.6783836,38.017N,100.03E,Cropland
201205170800,-19.86855044,-144.1368178,38.017N,100.03E,Cropland
201205170900,-19.87878844,-141.9778567,38.017N,100.03E,Cropland
201205171000,-20.780123,-150.128997,38.017N,100.03E,Cropland
201205171100,-15.76083654,-114.6713865,38.017N,100.03E,Cropland
201205171200,-13.050797,-94.767307,38.017N,100.03E,Cropland
201205171300,-13.38578863,-96.90094775,38.017N,100.03E,Cropland
201205171400,-14.54638642,-100.8704489,38.017N,100.03E,Cropland
201205171500,-15.90659527,-105.7908318,38.017N,100.03E,Cropland
201205171600,-15.65576413,-106.9535626,38.017N,100.03E,Cropland
201205171700,-14.31051344,-98.61723022,38.017N,100.03E,Cropland
201205171800,-14.79272843,-101.8199029,38.017N,100.03E,Cropland
201205171900,-13.93920922,-98.62847211,38.017N,100.03E,Cropland
201205172000,-13.1784035,-96.3812565,38.017N,100.03E,Cropland
201205172100,-12.87643336,-95.60516673,38.017N,100.03E,Cropland
201205172200,-16.7674455,-111.9327162,38.017N,100.03E,Cropland
201205172300,-16.51698925,-113.2153725,38.017N,100.03E,Cropland
201205180000,-15.02910113,-104.6137225,38.017N,100.03E,Cropland
201205180100,-18.26307464,-124.6456214,38.017N,100.03E,Cropland
201205180200,-19.31706589,-136.5847267,38.017N,100.03E,Cropland
201205180300,-18.560465,-129.65588,38.017N,100.03E,Cropland
201205180400,-18.04876073,-125.0714264,38.017N,100.03E,Cropland
201205180500,-18.20143467,-126.5098267,38.017N,100.03E,Cropland
201205180600,-18.08697156,-124.4869778,38.017N,100.03E,Cropland
201205180700,-18.69451613,-129.5126338,38.017N,100.03E,Cropland
201205180800,-18.84578038,-131.4824415,38.017N,100.03E,Cropland
201205180900,-18.5813351,-129.947552,38.017N,100.03E,Cropland
201205181000,-18.88915,-131.3120325,38.017N,100.03E,Cropland
201205181100,-18.7545095,-130.039586,38.017N,100.03E,Cropland
201205181200,-15.0115046,-106.071988,38.017N,100.03E,Cropland
201205181300,-14.44969056,-104.5406053,38.017N,100.03E,Cropland
201205181400,-15.04192154,-106.4846723,38.017N,100.03E,Cropland
201205181500,-16.9299575,-116.7062325,38.017N,100.03E,Cropland
201205181600,-15.89330629,-111.707587,38.017N,100.03E,Cropland
201205181700,-16.38479123,-113.4674177,38.017N,100.03E,Cropland
201205181800,-16.2340167,-113.145204,38.017N,100.03E,Cropland
201205181900,-15.2650885,-108.4947075,38.017N,100.03E,Cropland
