TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape,,,,,,,,,,,,,,,
200803311600,-17.12,-104.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200803311700,-16.75,-72,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200803311800,-17.18,-37.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200803311900,-14.84,-74.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200803312000,-15.36,-67.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200803312100,-14.11,-33.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200803312200,-13.59,-144.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200803312300,-14.13,-39.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010000,-12.59,-23.8,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010100,-15.45,-115.1,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010200,-15.5,-116.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010300,-17.85,-120.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010400,-20.08,-132.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010500,-22.63,-141.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010600,-22.1,-134.3,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010700,-18.57,-128.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010800,-20.53,-170.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804010900,-21.68,-195.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011000,-23.38,-216.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011100,-23.87,-213.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011200,-24.28,-204.3,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011300,-29.78,-217.8,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011400,-29.27,-217,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011500,-29.79,-207.1,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011600,-29.38,-212.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011700,-29.53,-234.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011800,-29.04,-221.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804011900,-29.67,-226.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804012000,-27.85,-183.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804012100,-27.93,-189.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804012200,-25.92,-207.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804012300,-26.45,-218.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020000,-27.53,-206.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020100,-27.45,-207.8,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020200,-27.06,-201.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020300,-26.76,-191.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020400,-24.96,-160.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020500,-23.92,-163,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020600,-23.83,-172,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020700,-23.22,-186.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020800,-23.3,-175.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804020900,-22.52,-179.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021000,-21.72,-147.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021100,-19.39,-157.3,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021200,-19,-160.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021300,-20.27,-151.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021400,-18.89,-141.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021500,-16.89,-135.1,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021600,-17.23,-141.8,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021700,-17.02,-146.8,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021800,-16.42,-141.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804021900,-15.8,-129,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804022000,-16.93,-127.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804022100,-16.39,-141.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804022200,-17.79,-140.1,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804022300,-13.91,-125.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030000,-17.32,-114.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030100,-18.84,-131.1,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030200,-16.92,-122.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030300,-16.89,-125.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030400,-16.82,-118.8,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030500,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030600,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030700,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030800,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804030900,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031000,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031100,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031200,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031300,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031400,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031500,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031600,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031700,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031800,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804031900,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804032000,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804032100,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804032200,-9999,-9999,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804032300,-13.94,-114.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040000,-14.81,-117.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040100,-14.43,-106.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040200,-14.89,-105.1,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040300,-15.45,-106.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040400,-14.96,-106.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040500,-14.05,-100.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040600,-14.83,-107.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040700,-13.58,-99.8,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040800,-13.56,-98.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804040900,-14.2,-102.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041000,-14.14,-101.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041100,-13.15,-96.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041200,-12.32,-93.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041300,-12.46,-95.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041400,-12.55,-97.8,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041500,-12.15,-96.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041600,-11.34,-92.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041700,-11.1,-96.5,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041800,-11.28,-97.8,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804041900,-11.51,-96.1,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804042000,-11.51,-105.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804042100,-11.68,-103.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804042200,-11.82,-98.4,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804042300,-11.26,-95,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804050000,-11.67,-95.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804050100,-11.82,-91.9,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804050200,-11.94,-88.6,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804050300,-11.82,-83.2,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
200804050400,-11.89,-82.7,37.0N,114.0E,Cropland,,,,,,,,,,,,,,,
