TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201106301600,-13.70217,-99.026034,26.08N,115.06E,Forest
201106301700,-13.838953,-99.417471,26.08N,115.06E,Forest
201106301800,-14.147693,-101.11727,26.08N,115.06E,Forest
201106301900,-13.840237,-99.733243,26.08N,115.06E,Forest
201106302000,-13.792898,-99.512965,26.08N,115.06E,Forest
201106302100,-13.649764,-98.803847,26.08N,115.06E,Forest
201106302200,-13.924005,-98.431645,26.08N,115.06E,Forest
201106302300,-13.867979,-95.703214,26.08N,115.06E,Forest
201107010000,-13.443976,-92.685368,26.08N,115.06E,Forest
201107010100,-13.243263,-91.268024,26.08N,115.06E,Forest
201107010200,-12.707953,-89.778505,26.08N,115.06E,Forest
201107010300,-12.71183,-90.544153,26.08N,115.06E,Forest
201107010400,-12.532758,-90.077802,26.08N,115.06E,Forest
201107010500,-12.629272,-91.078814,26.08N,115.06E,Forest
201107010600,-12.672041,-91.278739,26.08N,115.06E,Forest
201107010700,-12.335975,-90.372655,26.08N,115.06E,Forest
201107010800,-12.237795,-89.42699,26.08N,115.06E,Forest
201107010900,-12.448765,-88.828939,26.08N,115.06E,Forest
201107011000,-11.608783,-86.027614,26.08N,115.06E,Forest
201107011100,-11.694214,-86.473145,26.08N,115.06E,Forest
201107011200,-12.349748,-87.558018,26.08N,115.06E,Forest
201107011300,-12.469736,-87.89626,26.08N,115.06E,Forest
201107011400,-12.41607,-87.714432,26.08N,115.06E,Forest
201107011500,-12.361695,-87.648757,26.08N,115.06E,Forest
201107011600,-12.040325,-87.2844,26.08N,115.06E,Forest
201107011700,-12.280751,-88.105015,26.08N,115.06E,Forest
201107011800,-12.332027,-88.366839,26.08N,115.06E,Forest
201107011900,-12.525408,-89.463465,26.08N,115.06E,Forest
201107012000,-12.689857,-90.133538,26.08N,115.06E,Forest
201107012100,-12.906634,-91.131865,26.08N,115.06E,Forest
201107012200,-12.895471,-91.217373,26.08N,115.06E,Forest
201107012300,-12.829375,-90.385007,26.08N,115.06E,Forest
201107020000,-12.986553,-90.785933,26.08N,115.06E,Forest
201107020100,-13.215368,-93.071027,26.08N,115.06E,Forest
201107020200,-13.445826,-96.585382,26.08N,115.06E,Forest
201107020300,-13.415864,-96.161484,26.08N,115.06E,Forest
201107020400,-13.199582,-95.765163,26.08N,115.06E,Forest
201107020500,-13.304601,-96.962069,26.08N,115.06E,Forest
201107020600,-13.754479,-98.024348,26.08N,115.06E,Forest
201107020700,-14.094299,-98.227376,26.08N,115.06E,Forest
201107020800,-13.920606,-96.7112,26.08N,115.06E,Forest
201107020900,-12.889457,-93.914944,26.08N,115.06E,Forest
201107021000,-12.765503,-93.539564,26.08N,115.06E,Forest
201107021100,-12.844608,-94.568835,26.08N,115.06E,Forest
201107021200,-12.987156,-95.373421,26.08N,115.06E,Forest
201107021300,-12.795176,-94.854897,26.08N,115.06E,Forest
201107021400,-12.543142,-94.763543,26.08N,115.06E,Forest
201107021500,-12.528624,-94.43711,26.08N,115.06E,Forest
201107021600,-12.789858,-93.219252,26.08N,115.06E,Forest
201107021700,-12.78958,-91.442199,26.08N,115.06E,Forest
201107021800,-12.759749,-89.946771,26.08N,115.06E,Forest
201107021900,-12.398067,-88.669732,26.08N,115.06E,Forest
