TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201107200000,-9999,-9999,40.10N,8.44E,Snow
201107200100,-9999,-9999,40.10N,8.44E,Snow
201107200200,-9999,-9999,40.10N,8.44E,Snow
201107200300,-9999,-9999,40.10N,8.44E,Snow
201107200400,-9999,-9999,40.10N,8.44E,Snow
201107200500,-9999,-9999,40.10N,8.44E,Snow
201107200600,-9999,-9999,40.10N,8.44E,Snow
201107200700,-9999,-9999,40.10N,8.44E,Snow
201107200800,-9999,-9999,40.10N,8.44E,Snow
201107200900,-9999,-9999,40.10N,8.44E,Snow
201107201000,-9999,-9999,40.10N,8.44E,Snow
201107201100,-9999,-9999,40.10N,8.44E,Snow
201107201200,-9999,-9999,40.10N,8.44E,Snow
201107201300,-9999,-9999,40.10N,8.44E,Snow
201107201400,-9999,-9999,40.10N,8.44E,Snow
201107201500,-9999,-9999,40.10N,8.44E,Snow
201107201600,-9999,-9999,40.10N,8.44E,Snow
201107201700,-9999,-9999,40.10N,8.44E,Snow
201107201800,-9999,-9999,40.10N,8.44E,Snow
201107201900,-9999,-9999,40.10N,8.44E,Snow
201107202000,-9999,-9999,40.10N,8.44E,Snow
201107202100,-9999,-9999,40.10N,8.44E,Snow
201107202200,-9999,-9999,40.10N,8.44E,Snow
201107202300,-9999,-9999,40.10N,8.44E,Snow
201107210000,-9999,-9999,40.10N,8.44E,Snow
201107210100,-9999,-9999,40.10N,8.44E,Snow
201107210200,-9999,-9999,40.10N,8.44E,Snow
201107210300,-9999,-9999,40.10N,8.44E,Snow
201107210400,-9999,-9999,40.10N,8.44E,Snow
201107210500,-9999,-9999,40.10N,8.44E,Snow
201107210600,-9999,-9999,40.10N,8.44E,Snow
201107210700,-9999,-9999,40.10N,8.44E,Snow
201107210800,-9999,-9999,40.10N,8.44E,Snow
201107210900,-9999,-9999,40.10N,8.44E,Snow
201107211000,-9999,-9999,40.10N,8.44E,Snow
201107211100,-9999,-9999,40.10N,8.44E,Snow
201107211200,-9999,-9999,40.10N,8.44E,Snow
201107211300,-9999,-9999,40.10N,8.44E,Snow
201107211400,-9999,-9999,40.10N,8.44E,Snow
201107211500,-9999,-9999,40.10N,8.44E,Snow
201107211600,-9999,-9999,40.10N,8.44E,Snow
201107211700,-9999,-9999,40.10N,8.44E,Snow
201107211800,-9999,-9999,40.10N,8.44E,Snow
201107211900,-9999,-9999,40.10N,8.44E,Snow
201107212000,-9999,-9999,40.10N,8.44E,Snow
201107212100,-9999,-9999,40.10N,8.44E,Snow
201107212200,-9999,-9999,40.10N,8.44E,Snow
201107212300,-9999,-9999,40.10N,8.44E,Snow
201107220000,-9999,-9999,40.10N,8.44E,Snow
201107220100,-9999,-9999,40.10N,8.44E,Snow
201107220200,-9999,-9999,40.10N,8.44E,Snow
201107220300,-9999,-9999,40.10N,8.44E,Snow
201107220400,-9999,-9999,40.10N,8.44E,Snow
201107220500,-9999,-9999,40.10N,8.44E,Snow
201107220600,-9999,-9999,40.10N,8.44E,Snow
201107220700,-9999,-9999,40.10N,8.44E,Snow
201107220800,-9999,-9999,40.10N,8.44E,Snow
201107220900,-9999,-9999,40.10N,8.44E,Snow
201107221000,-9999,-9999,40.10N,8.44E,Snow
201107221100,-9999,-9999,40.10N,8.44E,Snow
201107221200,-9999,-9999,40.10N,8.44E,Snow
201107221300,-9999,-9999,40.10N,8.44E,Snow
201107221400,-9999,-9999,40.10N,8.44E,Snow
201107221500,-9999,-9999,40.10N,8.44E,Snow
201107221600,-9999,-9999,40.10N,8.44E,Snow
201107221700,-9999,-9999,40.10N,8.44E,Snow
201107221800,-9999,-9999,40.10N,8.44E,Snow
201107221900,-9999,-9999,40.10N,8.44E,Snow
201107222000,-9999,-9999,40.10N,8.44E,Snow
201107222100,-9999,-9999,40.10N,8.44E,Snow
201107222200,-9999,-9999,40.10N,8.44E,Snow
201107222300,-9999,-9999,40.10N,8.44E,Snow
201107230000,-9999,-9999,40.10N,8.44E,Snow
201107230100,-9999,-9999,40.10N,8.44E,Snow
201107230200,-9999,-9999,40.10N,8.44E,Snow
201107230300,-9999,-9999,40.10N,8.44E,Snow
201107230400,-9999,-9999,40.10N,8.44E,Snow
201107230500,-9999,-9999,40.10N,8.44E,Snow
201107230600,-9999,-9999,40.10N,8.44E,Snow
201107230700,-9999,-9999,40.10N,8.44E,Snow
201107230800,-9999,-9999,40.10N,8.44E,Snow
201107230900,-9999,-9999,40.10N,8.44E,Snow
201107231000,-9999,-9999,40.10N,8.44E,Snow
201107231100,-9999,-9999,40.10N,8.44E,Snow
201107231200,-9999,-9999,40.10N,8.44E,Snow
201107231300,-9999,-9999,40.10N,8.44E,Snow
201107231400,-9999,-9999,40.10N,8.44E,Snow
201107231500,-9999,-9999,40.10N,8.44E,Snow
201107231600,-9999,-9999,40.10N,8.44E,Snow
201107231700,-9999,-9999,40.10N,8.44E,Snow
201107231800,-9999,-9999,40.10N,8.44E,Snow
201107231900,-9999,-9999,40.10N,8.44E,Snow
201107232000,-9999,-9999,40.10N,8.44E,Snow
201107232100,-9999,-9999,40.10N,8.44E,Snow
201107232200,-9999,-9999,40.10N,8.44E,Snow
201107232300,-9999,-9999,40.10N,8.44E,Snow
201107240000,-9999,-9999,40.10N,8.44E,Snow
201107240100,-9999,-9999,40.10N,8.44E,Snow
201107240200,-9999,-9999,40.10N,8.44E,Snow
201107240300,-9999,-9999,40.10N,8.44E,Snow
