TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Preciptition,Rn,U,WD,T_ERA5,RH_ERA5,P_ERA5,Preciptition_ERA5,Rn_ERA5,U_ERA5,WD_ERA5
201109010000,201109010059,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.52725,0.772854,99.79321,0.07533897,227.3,2.108783,19.15138
201109010100,201109010159,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.34682,0.7490103,99.742,0.171225,339.2,1.393015,36.01927
201109010200,201109010259,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.50519,0.7053107,99.76971,0.6281509,338.2961,1.993902,114.7118
201109010300,201109010359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.86922,0.7096043,99.69836,0.01076271,252.1102,2.579537,124.5915
201109010400,201109010459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.897,0.6598342,99.64129,0,425.9855,2.124995,135.2511
201109010500,201109010559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.50647,0.6225554,99.61778,0.02348228,390.4359,3.25311,139.7489
201109010600,201109010659,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.95316,0.5926283,99.58421,0,301.1343,3.257418,138.6442
201109010700,201109010759,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.16388,0.6305462,99.60268,0,150.8716,2.934001,122.8987
201109010800,201109010859,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.52791,0.6741771,99.61107,0,96.3307,2.598074,129.4052
201109010900,201109010959,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.75566,0.7295651,99.65052,0,6.516204,2.339382,134.249
201109011000,201109011059,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.96827,0.6422018,99.6522,0,-24.28241,2.419371,117.8607
201109011100,201109011159,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.10327,0.6706193,99.70508,0,-28.49801,2.296491,96.50795
201109011200,201109011259,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.69443,0.7175739,99.67738,0,-26.01034,2.26229,65.20193
201109011300,201109011359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.19096,0.7627521,99.6203,0,-29.15575,1.495099,43.52957
201109011400,201109011459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.97645,0.7030239,99.59428,0,-25.2419,1.029912,47.52248
201109011500,201109011559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.58654,0.7289148,99.5649,0,-23.09286,1.645577,105.9442
201109011600,201109011659,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.43763,0.825402,99.51035,0,-20.09072,1.783992,110.0629
201109011700,201109011759,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.41681,0.8190117,99.47425,0,-24.05016,1.475694,61.57442
