TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Preciptition,Rn,U,WD,T_ERA5,RH_ERA5,P_ERA5,Preciptition_ERA5,Rn_ERA5,U_ERA5,WD_ERA5
201001010000,201001010059,-9999,-9999,-9999,-9999,-9999,16.65,0.9549015,83.05047,0.5,-22.337334,2.3966112,41.591556,16.82844,0.9635442,82.11821,0.2247682,-35.43275,0.6465394,56.45091
201001010100,201001010159,-9999,-9999,-9999,-9999,-9999,16.45,0.95846146,83.08016,0.3,-21.636269,2.476845,43.879392,16.04524,0.97566,82.11292,0.1123841,-37.88241,0.6287575,50.70338
201001010200,201001010259,-9999,-9999,-9999,-9999,-9999,16.35,0.9588236,83.14249,0.3,-21.34577,2.3950927,54.873576,15.71099,0.9758488,82.10233,0.1030188,-21.56158,0.6096221,44.3797
201001010300,201001010359,-9999,-9999,-9999,-9999,-9999,16.35,0.9557932,83.20878,0.2,-18.247103,2.1938744,72.689454,17.36423,0.915028,82.13586,0.05752996,-20.96448,1.079051,66.38242
201001010400,201001010459,-9999,-9999,-9999,-9999,-9999,16.85,0.93473065,83.28623,0.3,21.764942,2.5501215,75.79377,17.17908,0.9228142,82.16321,0.02943393,-19.95505,1.175698,63.76138
201001010500,201001010559,-9999,-9999,-9999,-9999,-9999,17.55,0.8940037,83.338984,0.3,100.818405,3.32535,69.53814,18.44891,0.9088114,82.22939,0.03746137,41.0426,1.141454,71.39732
201001010600,201001010659,-9999,-9999,-9999,-9999,-9999,18.75,0.8218784,83.33326,0.5,210.58408,3.5265906,48.023082,19.23375,0.8412037,82.25145,0.1271011,125.4572,0.9171808,87.05481
201001010700,201001010759,-9999,-9999,-9999,-9999,-9999,20.45,0.7182768,83.28218,0.4,371.70575,3.5169003,14.24817,20.68381,0.7385025,82.24174,0.09365343,305.5929,1.071829,86.08084
201001010800,201001010859,-9999,-9999,-9999,-9999,-9999,22.05,0.6250734,83.20439,0.3,498.06207,3.5298104,344.09295,22.00607,0.6898787,82.19409,0.05752996,458.7952,1.177747,71.87429
201001010900,201001010959,-9999,-9999,-9999,-9999,-9999,23.25,0.56413335,83.109125,0.3,525.5404,3.5033574,315.161316,23.84119,0.597779,82.1588,0.09766715,490.3166,1.453232,54.95287
201001011000,201001011059,-9999,-9999,-9999,-9999,-9999,23.75,0.54029804,83.008055,0.3,450.5766,3.3928523,291.63096,25.35352,0.5227931,82.0935,0.3157458,513.6076,2.167771,53.36481
201001011100,201001011159,-9999,-9999,-9999,-9999,-9999,23.55,0.5479649,82.939164,0.5,281.54034,3.2443216,275.695632,25.58946,0.5139316,82.0185,2.556739,460.2541,2.011928,63.16047
201001011200,201001011259,-9999,-9999,-9999,-9999,-9999,23.05,0.57492065,82.92053,0.5,193.854,3.2203913,259.985016,25.26012,0.5108598,81.90379,1.891799,345.2238,3.575552,44.6313
201001011300,201001011359,-9999,-9999,-9999,-9999,-9999,22.25,0.6186502,82.941984,0.3,99.1597,3.2272553,250.438194,24.02961,0.5510553,81.98055,0.1444939,133.2829,2.754849,38.15828
201001011400,201001011459,-9999,-9999,-9999,-9999,-9999,21.15,0.701515,82.990484,0.3,20.365082,2.8537807,247.19436,23.90673,0.552825,81.94967,0,116.8577,2.232372,44.57838
201001011500,201001011559,-9999,-9999,-9999,-9999,-9999,19.65,0.81171334,83.04761,0.2,-19.19213,2.2784321,249.025896,20.85422,0.694154,81.97173,0.001337906,8.998061,2.363718,73.91251
201001011600,201001011659,-9999,-9999,-9999,-9999,-9999,18.75,0.8673469,83.09111,0.4,-29.263002,2.367781,262.191042,20.68545,0.7235727,82.02908,0.2582159,-52.99261,1.272937,91.20315
201001011700,201001011759,-9999,-9999,-9999,-9999,-9999,18.15,0.9021304,83.12228,0.6,-27.704803,2.9889095,278.816616,19.20098,0.8075082,82.1032,0.042813,-60.53407,1.321933,99.32519
201001011800,201001011859,-9999,-9999,-9999,-9999,-9999,17.75,0.9334758,83.138625,1.2,-26.302597,3.4978588,310.7754,19.432,0.8127973,82.17645,1.806173,-47.99489,1.184701,77.28607
201001011900,201001011959,-9999,-9999,-9999,-9999,-9999,17.45,0.94978154,83.157766,1.4,-24.50151,3.6475704,344.41776,19.16984,0.8347212,82.23557,2.503222,-42.93482,1.342145,66.84573
201001012000,201001012059,-9999,-9999,-9999,-9999,-9999,17.35,0.9550489,83.16533,1.5,-24.925941,3.9138455,3.010176,18.21624,0.8875167,82.2541,0.02809603,-39.34455,1.191412,68.72485
201001012100,201001012159,-9999,-9999,-9999,-9999,-9999,17.15,0.95893776,83.133305,1.6,-25.094505,4.039718,19.48464,17.11681,0.9307905,82.26468,0.01605487,-25.38917,0.09737811,267.6434
