TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201112311700,-9999,-9999,25.02N,121.5E,Urban/Coast
201112311800,-9999,-9999,25.02N,121.5E,Urban/Coast
201112311900,-9999,-9999,25.02N,121.5E,Urban/Coast
201112312000,-9999,-9999,25.02N,121.5E,Urban/Coast
201112312100,-9999,-9999,25.02N,121.5E,Urban/Coast
201112312200,-9999,-9999,25.02N,121.5E,Urban/Coast
201112312300,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010000,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010100,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010200,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010300,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010400,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010500,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010600,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010700,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010800,-9999,-9999,25.02N,121.5E,Urban/Coast
201201010900,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011000,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011100,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011200,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011300,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011400,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011500,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011600,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011700,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011800,-9999,-9999,25.02N,121.5E,Urban/Coast
201201011900,-9999,-9999,25.02N,121.5E,Urban/Coast
201201012000,-9999,-9999,25.02N,121.5E,Urban/Coast
201201012100,-9999,-9999,25.02N,121.5E,Urban/Coast
201201012200,-9999,-9999,25.02N,121.5E,Urban/Coast
201201012300,-9999,-9999,25.02N,121.5E,Urban/Coast
201201020000,-9999,-9999,25.02N,121.5E,Urban/Coast
