TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201209171800,-9999,-9999,57.037N,59.547E,Forest
201209171900,-9999,-9999,57.037N,59.547E,Forest
201209172000,-9999,-9999,57.037N,59.547E,Forest
201209172100,-9999,-9999,57.037N,59.547E,Forest
201209172200,-9999,-9999,57.037N,59.547E,Forest
201209172300,-9999,-9999,57.037N,59.547E,Forest
201209180000,-9999,-9999,57.037N,59.547E,Forest
201209180100,-9999,-9999,57.037N,59.547E,Forest
201209180200,-9999,-9999,57.037N,59.547E,Forest
201209180300,-9999,-9999,57.037N,59.547E,Forest
201209180400,-9999,-9999,57.037N,59.547E,Forest
201209180500,-9999,-9999,57.037N,59.547E,Forest
201209180600,-9999,-9999,57.037N,59.547E,Forest
201209180700,-22.88,-165.3,57.037N,59.547E,Forest
201209180800,-22.73,-165.7,57.037N,59.547E,Forest
201209180900,-22.76,-166.3,57.037N,59.547E,Forest
201209181000,-23.27,-170,57.037N,59.547E,Forest
201209181100,-23.67,-172.6,57.037N,59.547E,Forest
201209181200,-23.61,-171.1,57.037N,59.547E,Forest
201209181300,-23.43,-170.3,57.037N,59.547E,Forest
201209181400,-23.54,-171.7,57.037N,59.547E,Forest
201209181500,-23.38,-170.6,57.037N,59.547E,Forest
201209181600,-23.39,-171.2,57.037N,59.547E,Forest
201209181700,-23.34,-171.2,57.037N,59.547E,Forest
201209181800,-23.08,-169.7,57.037N,59.547E,Forest
201209181900,-23.02,-170.1,57.037N,59.547E,Forest
201209182000,-22.92,-170.5,57.037N,59.547E,Forest
201209182100,-9999,-9999,57.037N,59.547E,Forest
201209182200,-23.04,-169.5,57.037N,59.547E,Forest
201209182300,-23.38,-171.4,57.037N,59.547E,Forest
201209190000,-23.67,-173.6,57.037N,59.547E,Forest
201209190100,-23.37,-171.3,57.037N,59.547E,Forest
201209190200,-22.91,-166.4,57.037N,59.547E,Forest
201209190300,-23.56,-169.8,57.037N,59.547E,Forest
201209190400,-24.17,-174.2,57.037N,59.547E,Forest
201209190500,-24.15,-174.8,57.037N,59.547E,Forest
201209190600,-23.15,-169.7,57.037N,59.547E,Forest
201209190700,-22.66,-167.6,57.037N,59.547E,Forest
201209190800,-21.92,-165.7,57.037N,59.547E,Forest
201209190900,-21.75,-167.4,57.037N,59.547E,Forest
201209191000,-21.61,-166.8,57.037N,59.547E,Forest
201209191100,-21.29,-165,57.037N,59.547E,Forest
201209191200,-21.13,-165.4,57.037N,59.547E,Forest
201209191300,-21,-164.3,57.037N,59.547E,Forest
201209191400,-20.7,-163.1,57.037N,59.547E,Forest
201209191500,-20.62,-162.5,57.037N,59.547E,Forest
201209191600,-20.38,-161.6,57.037N,59.547E,Forest
201209191700,-20.1,-158.6,57.037N,59.547E,Forest
201209191800,-19.98,-157.5,57.037N,59.547E,Forest
201209191900,-19.91,-157.5,57.037N,59.547E,Forest
201209192000,-19.89,-157.6,57.037N,59.547E,Forest
201209192100,-19.66,-155.8,57.037N,59.547E,Forest
201209192200,-19.14,-149.3,57.037N,59.547E,Forest
201209192300,-19.23,-144.9,57.037N,59.547E,Forest
201209200000,-9999,-9999,57.037N,59.547E,Forest
201209200100,-19.67,-143.2,57.037N,59.547E,Forest
201209200200,-19.72,-143.7,57.037N,59.547E,Forest
201209200300,-19.64,-143.6,57.037N,59.547E,Forest
201209200400,-19.63,-143.5,57.037N,59.547E,Forest
201209200500,-19.88,-144.6,57.037N,59.547E,Forest
201209200600,-19.57,-143.5,57.037N,59.547E,Forest
201209200700,-9999,-9999,57.037N,59.547E,Forest
201209200800,-19.36,-144.2,57.037N,59.547E,Forest
201209200900,-19.06,-144.2,57.037N,59.547E,Forest
201209201000,-18.49,-145.2,57.037N,59.547E,Forest
201209201100,-18.55,-146.9,57.037N,59.547E,Forest
201209201200,-18.67,-148.5,57.037N,59.547E,Forest
201209201300,-9999,-9999,57.037N,59.547E,Forest
201209201400,-19.06,-154.1,57.037N,59.547E,Forest
201209201500,-19.26,-155.2,57.037N,59.547E,Forest
201209201600,-19.26,-156,57.037N,59.547E,Forest
201209201700,-19.45,-157.6,57.037N,59.547E,Forest
201209201800,-19.59,-158.5,57.037N,59.547E,Forest
201209201900,-9999,-9999,57.037N,59.547E,Forest
201209202000,-19.62,-159.3,57.037N,59.547E,Forest
201209202100,-19.61,-155.3,57.037N,59.547E,Forest
201209202200,-18.28,-146.3,57.037N,59.547E,Forest
201209202300,-18.36,-146.2,57.037N,59.547E,Forest
201209210000,-18.61,-143.2,57.037N,59.547E,Forest
201209210100,-19.01,-143.6,57.037N,59.547E,Forest
201209210200,-9999,-9999,57.037N,59.547E,Forest
201209210300,-19.98,-146.8,57.037N,59.547E,Forest
201209210400,-20,-146.6,57.037N,59.547E,Forest
201209210500,-19.84,-145.6,57.037N,59.547E,Forest
201209210600,-19.63,-144.9,57.037N,59.547E,Forest
201209210700,-18.74,-141,57.037N,59.547E,Forest
201209210800,-9999,-9999,57.037N,59.547E,Forest
201209210900,-18.36,-142.3,57.037N,59.547E,Forest
201209211000,-18.08,-141.4,57.037N,59.547E,Forest
201209211100,-17.78,-141.4,57.037N,59.547E,Forest
201209211200,-17.42,-140.8,57.037N,59.547E,Forest
201209211300,-17.37,-141,57.037N,59.547E,Forest
201209211400,-9999,-9999,57.037N,59.547E,Forest
201209211500,-17.08,-141.9,57.037N,59.547E,Forest
201209211600,-16.82,-140.7,57.037N,59.547E,Forest
201209211700,-16.73,-140.7,57.037N,59.547E,Forest
201209211800,-16.89,-140.6,57.037N,59.547E,Forest
201209211900,-16.78,-140.8,57.037N,59.547E,Forest
201209212000,-16.82,-140.8,57.037N,59.547E,Forest
201209212100,-9999,-9999,57.037N,59.547E,Forest
201209212200,-17.28,-140.7,57.037N,59.547E,Forest
201209212300,-17.96,-140.2,57.037N,59.547E,Forest
201209220000,-17.56,-136.4,57.037N,59.547E,Forest
201209220100,-18.34,-138.9,57.037N,59.547E,Forest
201209220200,-19.01,-141.3,57.037N,59.547E,Forest
201209220300,-9999,-9999,57.037N,59.547E,Forest
201209220400,-19.79,-146.1,57.037N,59.547E,Forest
201209220500,-19.58,-144.6,57.037N,59.547E,Forest
201209220600,-19.26,-142.8,57.037N,59.547E,Forest
201209220700,-18.89,-141.2,57.037N,59.547E,Forest
201209220800,-18.92,-141.6,57.037N,59.547E,Forest
201209220900,-9999,-9999,57.037N,59.547E,Forest
201209221000,-17.95,-141.3,57.037N,59.547E,Forest
201209221100,-17.76,-141,57.037N,59.547E,Forest
201209221200,-17.55,-141.2,57.037N,59.547E,Forest
201209221300,-17.68,-142.8,57.037N,59.547E,Forest
201209221400,-17.37,-142,57.037N,59.547E,Forest
201209221500,-17.36,-141.9,57.037N,59.547E,Forest
201209221600,-9999,-9999,57.037N,59.547E,Forest
201209221700,-17.16,-143.4,57.037N,59.547E,Forest
201209221800,-17.43,-145.9,57.037N,59.547E,Forest
201209221900,-17.7,-148.1,57.037N,59.547E,Forest
201209222000,-17.87,-148.7,57.037N,59.547E,Forest
201209222100,-17.58,-145.3,57.037N,59.547E,Forest
201209222200,-9999,-9999,57.037N,59.547E,Forest
201209222300,-18.03,-141.3,57.037N,59.547E,Forest
