TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201203150000,-21.62316667,-160.6768333,28.2N,16.4W,Mountain
201203150100,-21.902,-162.7055,28.2N,16.4W,Mountain
201203150200,-21.569,-160.4366,28.2N,16.4W,Mountain
201203150400,-21.179,-157.5743333,28.2N,16.4W,Mountain
201203150500,-20.86483333,-155.1903333,28.2N,16.4W,Mountain
201203150600,-20.02283333,-149.3021667,28.2N,16.4W,Mountain
201203150700,-19.45016667,-144.754,28.2N,16.4W,Mountain
201203150800,-21.59066667,-159.265,28.2N,16.4W,Mountain
201203150900,-21.60266667,-160.2068333,28.2N,16.4W,Mountain
201203151000,-20.87,-154.0236667,28.2N,16.4W,Mountain
201203151100,-19.54766667,-145.0756667,28.2N,16.4W,Mountain
201203151200,-19.06716667,-141.4281667,28.2N,16.4W,Mountain
201203151300,-19.32733333,-142.9216667,28.2N,16.4W,Mountain
201203151400,-18.65516667,-138.5695,28.2N,16.4W,Mountain
201203151500,-17.94883333,-133.3313333,28.2N,16.4W,Mountain
201203151600,-18.402,-135.425,28.2N,16.4W,Mountain
201203151900,-23.09125,-172.39975,28.2N,16.4W,Mountain
201203152000,-23.313,-172.5015,28.2N,16.4W,Mountain
201203152100,-23.219,-172.0626667,28.2N,16.4W,Mountain
201203152200,-22.81016667,-168.6903333,28.2N,16.4W,Mountain
201203152300,-22.85466667,-167.9611667,28.2N,16.4W,Mountain
201203160000,-23.23666667,-170.9735,28.2N,16.4W,Mountain
201203160100,-23.16366667,-170.642,28.2N,16.4W,Mountain
201203160200,-23.31366667,-172.3533333,28.2N,16.4W,Mountain
201203160300,-23.658,-174.263,28.2N,16.4W,Mountain
201203160400,-23.7725,-174.7376667,28.2N,16.4W,Mountain
201203160500,-23.73983333,-174.3585,28.2N,16.4W,Mountain
201203160600,-23.412,-171.5418333,28.2N,16.4W,Mountain
201203160700,-23.221,-170.9076667,28.2N,16.4W,Mountain
201203160800,-23.2465,-169.303,28.2N,16.4W,Mountain
201203160900,-23.0175,-168.7223333,28.2N,16.4W,Mountain
201203161000,-22.2375,-163.9936667,28.2N,16.4W,Mountain
201203161100,-21.6975,-159.7551667,28.2N,16.4W,Mountain
201203161200,-21.27433333,-156.5998333,28.2N,16.4W,Mountain
201203161300,-21.31433333,-156.6906667,28.2N,16.4W,Mountain
201203161400,-21.2625,-156.9986667,28.2N,16.4W,Mountain
201203161500,-21.54483333,-158.9891667,28.2N,16.4W,Mountain
201203161600,-21.1135,-156.5013333,28.2N,16.4W,Mountain
201203161700,-22.50333333,-165.7856667,28.2N,16.4W,Mountain
201203161800,-21.53716667,-160.2863333,28.2N,16.4W,Mountain
201203161900,-22.12816667,-163.0663333,28.2N,16.4W,Mountain
201203162000,-22.681,-166.9516,28.2N,16.4W,Mountain
201203162300,-22.87416667,-168.2078333,28.2N,16.4W,Mountain
201203170000,-22.58766667,-165.954,28.2N,16.4W,Mountain
201203170100,-22.96733333,-168.684,28.2N,16.4W,Mountain
201203170200,-23.024,-168.5748333,28.2N,16.4W,Mountain
201203170300,-23.01783333,-168.743,28.2N,16.4W,Mountain
201203170400,-23.22416667,-170.0393333,28.2N,16.4W,Mountain
201203170500,-23.49883333,-170.622,28.2N,16.4W,Mountain
201203170600,-23.60866667,-171.5048333,28.2N,16.4W,Mountain
201203170700,-23.79783333,-173.3126667,28.2N,16.4W,Mountain
201203170800,-23.92716667,-173.8308333,28.2N,16.4W,Mountain
201203170900,-24.60566667,-179.2288333,28.2N,16.4W,Mountain
201203171000,-24.1785,-177.047,28.2N,16.4W,Mountain
201203171100,-23.55,-173.07,28.2N,16.4W,Mountain
201203171200,-23.675,-172.808,28.2N,16.4W,Mountain
201203171300,-23.0875,-169.825,28.2N,16.4W,Mountain
201203171400,-21.18783333,-155.9798333,28.2N,16.4W,Mountain
201203171500,-21.15966667,-154.8633333,28.2N,16.4W,Mountain
201203171600,-21.78466667,-159.9431667,28.2N,16.4W,Mountain
201203171700,-23.06133333,-168.8906667,28.2N,16.4W,Mountain
201203171800,-23.36266667,-171.2496667,28.2N,16.4W,Mountain
201203171900,-23.6175,-173.2016667,28.2N,16.4W,Mountain
201203172000,-24.493,-180.0395,28.2N,16.4W,Mountain
201203172100,-25.25583333,-186.4711667,28.2N,16.4W,Mountain
