TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201306181500,-13.64075,-126.381,28.3N,16.5W,Mountain
201306181600,-15.77416667,-145.946,28.3N,16.5W,Mountain
201306181700,-20.673,-182.6583333,28.3N,16.5W,Mountain
201306181800,-25.9175,-223.8415,28.3N,16.5W,Mountain
201306181900,-26.89866667,-231.1943333,28.3N,16.5W,Mountain
201306182000,-29.52933333,-252.432,28.3N,16.5W,Mountain
201306182100,-29.947,-255.165,28.3N,16.5W,Mountain
201306182200,-31.48933333,-266.8788333,28.3N,16.5W,Mountain
201306182300,-31.947,-272.3291667,28.3N,16.5W,Mountain
201306190000,-31.96516667,-272.9021667,28.3N,16.5W,Mountain
201306190100,-31.64066667,-269.794,28.3N,16.5W,Mountain
201306190200,-31.43283333,-267.7965,28.3N,16.5W,Mountain
201306190300,-30.77766667,-262.7566667,28.3N,16.5W,Mountain
201306190400,-31.0715,-253.9445,28.3N,16.5W,Mountain
201306190500,-31.1845,-265.1168333,28.3N,16.5W,Mountain
201306190600,-31.42466667,-266.2185,28.3N,16.5W,Mountain
201306190700,-31.12033333,-265.3821667,28.3N,16.5W,Mountain
201306190800,-30.2115,-255.8398333,28.3N,16.5W,Mountain
201306190900,-25.359,-210.282,28.3N,16.5W,Mountain
201306201400,-25.452,-235.007,28.3N,16.5W,Mountain
201306201500,-18.36516667,-176.2028333,28.3N,16.5W,Mountain
201306201600,-17.73033333,-166.88,28.3N,16.5W,Mountain
201306201700,-26.14866667,-235.8016667,28.3N,16.5W,Mountain
201306201800,-28.16466667,-254.8515,28.3N,16.5W,Mountain
201306201900,-27.43283333,-248.8825,28.3N,16.5W,Mountain
201306202000,-27.08683333,-244.5493333,28.3N,16.5W,Mountain
201306202100,-27.1755,-244.5968333,28.3N,16.5W,Mountain
201306202200,-28.57266667,-253.4546667,28.3N,16.5W,Mountain
201306202300,-30.12166667,-264.4425,28.3N,16.5W,Mountain
201306210000,-29.37533333,-258.9991667,28.3N,16.5W,Mountain
201306210100,-28.63283333,-253.8428333,28.3N,16.5W,Mountain
201306210200,-29.20316667,-257.8151667,28.3N,16.5W,Mountain
201306210300,-31.70466667,-276.14,28.3N,16.5W,Mountain
201306210400,-39.23033333,-329.5235,28.3N,16.5W,Mountain
201306210500,-44.58883333,-372.2835,28.3N,16.5W,Mountain
201306210600,-46.6876,-387.8058,28.3N,16.5W,Mountain
201306210700,-42.2725,-360.7068333,28.3N,16.5W,Mountain
201306210800,-34.78616667,-299.9203333,28.3N,16.5W,Mountain
201306211000,-37.23825,-311.09175,28.3N,16.5W,Mountain
201306211100,-32.329,-272.913,28.3N,16.5W,Mountain
201306211200,-32.07066667,-276.1498333,28.3N,16.5W,Mountain
201306211300,-34.4215,-294.2496667,28.3N,16.5W,Mountain
201306211400,-39.61366667,-335.4233333,28.3N,16.5W,Mountain
201306211500,-38.619,-327.618,28.3N,16.5W,Mountain
201306211600,-35.76683333,-310.0991667,28.3N,16.5W,Mountain
201306211700,-24.74916667,-218.9048333,28.3N,16.5W,Mountain
201306211800,-41.02033333,-344.672,28.3N,16.5W,Mountain
201306211900,-45.47066667,-384.0095,28.3N,16.5W,Mountain
201306212000,-45.78633333,-387.2836667,28.3N,16.5W,Mountain
201306212100,-49.89983333,-415.216,28.3N,16.5W,Mountain
201306212200,-48.531,-407.3473333,28.3N,16.5W,Mountain
201306212300,-44.1855,-373.2156667,28.3N,16.5W,Mountain
201306220000,-40.86166667,-351.3716667,28.3N,16.5W,Mountain
201306220100,-41.40866667,-310.5406667,28.3N,16.5W,Mountain
201306220200,-41.63316667,-310.7313333,28.3N,16.5W,Mountain
201306220300,-40.5025,-302.3946667,28.3N,16.5W,Mountain
201306220400,-40.638,-301.6443333,28.3N,16.5W,Mountain
201306220500,-40.8414,-304.6182,28.3N,16.5W,Mountain
201306220700,-44.11783333,-320.712,28.3N,16.5W,Mountain
201306220800,-36.919,-276.8891667,28.3N,16.5W,Mountain
201306220900,-30.94133333,-233.3371667,28.3N,16.5W,Mountain
201306221000,-27.01966667,-203.6248333,28.3N,16.5W,Mountain
201306221100,-24.49966667,-186.4485,28.3N,16.5W,Mountain
201306221200,-21.14683333,-163.5983333,28.3N,16.5W,Mountain
201306221300,-20.3965,-157.25,28.3N,16.5W,Mountain
201306221400,-18.81683333,-145.8008333,28.3N,16.5W,Mountain
201306221500,-18.38433333,-142.4233333,28.3N,16.5W,Mountain
201306221600,-17.1335,-133.9548333,28.3N,16.5W,Mountain
201306221700,-18.79683333,-144.3391667,28.3N,16.5W,Mountain
201306221800,-20.48416667,-155.3193333,28.3N,16.5W,Mountain
201306221900,-29.04716667,-212.836,28.3N,16.5W,Mountain
201306222000,-35.21533333,-256.3775,28.3N,16.5W,Mountain
201306222100,-39.31566667,-285.4781667,28.3N,16.5W,Mountain
201306222200,-39.27,-284.1636667,28.3N,16.5W,Mountain
201306222300,-43.2235,-310.8398333,28.3N,16.5W,Mountain
201306230000,-42.75516667,-308.7286667,28.3N,16.5W,Mountain
201306230200,-42.1984,-305.7902,28.3N,16.5W,Mountain
201306230300,-36.18783333,-272.503,28.3N,16.5W,Mountain
201306230400,-31.28933333,-238.753,28.3N,16.5W,Mountain
201306230500,-35.785,-269.5875,28.3N,16.5W,Mountain
201306230600,-31.13733333,-238.9981667,28.3N,16.5W,Mountain
201306230700,-37.0585,-274.4025,28.3N,16.5W,Mountain
201306230800,-39.59666667,-294.749,28.3N,16.5W,Mountain
201306230900,-35.4755,-268.4655,28.3N,16.5W,Mountain
201306231000,-35.3785,-266.0515,28.3N,16.5W,Mountain
201306231100,-36.16116667,-270.7536667,28.3N,16.5W,Mountain
201306231200,-37.13933333,-277.3365,28.3N,16.5W,Mountain
201306231300,-34.062,-257.061,28.3N,16.5W,Mountain
201306231400,-29.62183333,-224.456,28.3N,16.5W,Mountain
201306231500,-25.64766667,-195.9321667,28.3N,16.5W,Mountain
201306231600,-25.33716667,-193.1811667,28.3N,16.5W,Mountain
201306231700,-28.56633333,-216.1546667,28.3N,16.5W,Mountain
201306231800,-32.37283333,-242.8001667,28.3N,16.5W,Mountain
201306231900,-34.59733333,-259.407,28.3N,16.5W,Mountain
201306232000,-36.3065,-270.722,28.3N,16.5W,Mountain
201306232100,-39.27675,-290.47775,28.3N,16.5W,Mountain
201306232200,-40.772,-304.1385,28.3N,16.5W,Mountain
201306232300,-41.299,-307.5018333,28.3N,16.5W,Mountain
201306240000,-40.83683333,-304.3366667,28.3N,16.5W,Mountain
201306240100,-38.18216667,-285.9541667,28.3N,16.5W,Mountain
201306240200,-35.29416667,-265.2101667,28.3N,16.5W,Mountain
201306240300,-36.427,-271.4631667,28.3N,16.5W,Mountain
201306240400,-37.6225,-279.7825,28.3N,16.5W,Mountain
201306240500,-38.3665,-285.6516667,28.3N,16.5W,Mountain
201306240600,-37.554,-280.8533333,28.3N,16.5W,Mountain
201306240700,-38.212,-283.8228333,28.3N,16.5W,Mountain
201306240800,-39.3605,-291.8996667,28.3N,16.5W,Mountain
201306240900,-36.52216667,-274.7088333,28.3N,16.5W,Mountain
