TIMESTAMP,Latitude,lontitude,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Pricipitation,Rn,U,WD
201405011215,5.065,-4,28673.76357,-14.56,-9999,-104.74,-9999,29,0.737,101.1,-9999,-9999,3.7,255.5
201405011230,5.018,-3.999,28988.34542,-14.23,-9999,-102.42,-9999,28.91,0.751,101.086,-9999,-9999,3.8,263
201405011245,4.971,-3.997,29428.63295,-13.91,-9999,-99.9,-9999,28.9,0.762,101.066,-9999,-9999,3.5,266.8
201405011300,4.923,-3.993,29774.46921,-13.63,-9999,-97.58,-9999,28.9,0.769,101.042,-9999,-9999,3.8,275
201405011315,4.875,-3.99,29758.75136,-13.45,-9999,-96.17,-9999,28.9,0.768,101.013,-9999,-9999,4,276.3
201405011330,4.828,-3.984,29900.20518,-13.28,-9999,-94.87,-9999,28.89,0.772,100.983,-9999,-9999,3.9,274.9
201405011345,4.78,-3.986,29868.77232,-13.21,-9999,-94.41,-9999,28.9,0.772,100.957,-9999,-9999,3.8,278.6
201405011400,4.732,-3.99,30073.0724,-13.12,-9999,-93.78,-9999,28.9,0.777,100.929,-9999,-9999,3.6,271.3
201405011415,4.685,-3.994,30261.62876,-13.06,-9999,-93.29,-9999,28.86,0.783,100.899,-9999,-9999,4.1,278
201405011430,4.638,-3.996,30198.77966,-13.07,-9999,-93.46,-9999,28.83,0.783,100.89,-9999,-9999,4.3,263.5
201405011445,4.591,-3.998,30403.0282,-12.95,-9999,-92.58,-9999,28.84,0.789,100.883,-9999,-9999,5,262.4
201405011500,4.545,-3.998,31392.39623,-11.95,-9999,-84.73,-9999,28.16,0.85,100.857,-9999,-9999,8.4,246.8
201405011515,4.507,-4.002,31706.32478,-12.04,-9999,-85.57,-9999,27.79,0.869,100.841,-9999,-9999,8.1,252.7
201405011530,4.478,-3.998,31800.48865,-11.77,-9999,-83.43,-9999,27.8,0.873,100.841,-9999,-9999,7.9,250
201405011545,4.432,-3.997,30937.06586,-11.55,-9999,-81.68,-9999,28.19,0.829,100.841,-9999,-9999,6.8,247.1
201405011600,4.386,-3.998,29978.78402,-11.41,-9999,-80.14,-9999,28.59,0.787,100.837,-9999,-9999,6.9,241.9
201405011615,4.341,-3.998,30151.64086,-11.2,-9999,-78.28,-9999,28.78,0.783,100.848,-9999,-9999,6.5,240.7
201405011630,4.296,-3.997,30135.92754,-11.09,-9999,-77.28,-9999,28.8,0.783,100.852,-9999,-9999,6,232.9
201405011645,4.252,-3.996,30151.64086,-11.01,-9999,-76.62,-9999,28.71,0.786,100.854,-9999,-9999,5.7,230.3
201405011700,4.207,-3.995,30073.0724,-11.04,-9999,-76.67,-9999,28.6,0.79,100.879,-9999,-9999,5.5,233.1
201405011715,4.163,-3.995,30088.78647,-11.04,-9999,-76.49,-9999,28.54,0.794,100.907,-9999,-9999,5,238.3
201405011730,4.119,-3.996,3166426.693,-9999,-9999,-9999,-9999,28.47,0.792,100.928,-9999,-9999,4,227.1
201405011745,4.075,-3.996,3166426.693,-9999,-9999,-9999,-9999,28.5,0.792,100.934,-9999,-9999,4.3,228.1
201405011800,4.032,-3.997,3166426.693,-9999,-9999,-9999,-9999,28.56,0.79,100.938,-9999,-9999,4.7,229.8
201405011815,3.987,-3.998,3166426.693,-9999,-9999,-9999,-9999,28.41,0.793,100.932,-9999,-9999,4.8,230.8
201405011830,3.942,-3.999,3166426.693,-9999,-9999,-9999,-9999,28.42,0.785,100.961,-9999,-9999,3.7,222.2
201405011845,3.896,-4,29585.84258,-11.08,-9999,-76.3,-9999,28.46,0.784,100.972,-9999,-9999,3.4,217.9
201405011900,3.85,-4,29460.07639,-11.08,-9999,-76.36,-9999,28.4,0.786,100.984,-9999,-9999,3.6,214.8
201405011915,3.803,-3.999,29538.68168,-11.08,-9999,-76.12,-9999,28.4,0.783,101,-9999,-9999,3.1,228.8
201405011930,3.756,-3.997,29428.63295,-11.09,-9999,-76.24,-9999,28.4,0.782,101.019,-9999,-9999,3,230.9
201405011945,3.709,-3.996,29444.35476,-11.35,-9999,-78.41,-9999,28.37,0.783,101.038,-9999,-9999,3.4,191.6
201405012000,3.662,-3.997,28579.37427,-11.69,-9999,-81.05,-9999,28.41,0.757,101.073,-9999,-9999,2.8,174
201405012015,3.616,-3.999,28233.22188,-11.36,-9999,-78.5,-9999,28.74,0.739,101.07,-9999,-9999,3.8,186
201405012030,3.57,-4.001,29350.02104,-11.37,-9999,-78.41,-9999,28.42,0.789,101.073,-9999,-9999,4,190.3
201405012045,3.523,-4.002,29145.60798,-11.46,-9999,-79.1,-9999,28.51,0.768,101.096,-9999,-9999,4.7,200.8
201405012100,3.477,-4.003,27556.38682,-12.76,-9999,-88.72,-9999,28.57,0.724,101.122,-9999,-9999,3.8,210
201405012115,3.431,-4.003,27131.21841,-13.14,-9999,-91.9,-9999,28.66,0.713,101.142,-9999,-9999,2,175.3
201405012130,3.384,-4.005,28138.80079,-11.88,-9999,-81.82,-9999,28.88,0.733,101.15,-9999,-9999,1.8,189.7
201405012145,3.337,-4.006,28783.87582,-11.36,-9999,-77.85,-9999,28.87,0.747,101.146,-9999,-9999,2.8,200.3
201405012200,3.29,-4.006,28280.42987,-11.31,-9999,-77.7,-9999,28.9,0.732,101.137,-9999,-9999,4.3,199
201405012215,3.243,-4.006,28374.84074,-11.27,-9999,-77.58,-9999,28.98,0.733,101.15,-9999,-9999,4.4,189.1
201405012230,3.195,-4.007,29570.12247,-10.98,-9999,-75.5,-9999,28.92,0.766,101.14,-9999,-9999,4.4,189.6
201405012245,3.148,-4.007,29475.79782,-11.01,-9999,-75.72,-9999,28.8,0.768,101.13,-9999,-9999,4.6,181.2
201405012300,3.1,-4.008,29931.63728,-11.03,-9999,-75.63,-9999,28.63,0.786,101.13,-9999,-9999,5.7,183.8
201405012315,3.052,-4.007,28941.16296,-11.24,-9999,-77.29,-9999,28.6,0.763,101.126,-9999,-9999,5.5,188.7
201405012330,3.005,-4.005,28642.30123,-11.27,-9999,-77.74,-9999,28.7,0.75,101.113,-9999,-9999,5.2,190.3
201405012345,2.957,-4.003,28044.37289,-11.54,-9999,-79.68,-9999,28.71,0.731,101.1,-9999,-9999,4.6,190.4
201405020000,2.908,-4,27934.19839,-11.55,-9999,-79.64,-9999,28.77,0.73,101.083,-9999,-9999,4.9,194.5
201405020015,2.859,-4,29082.70522,-11.14,-9999,-76.66,-9999,28.84,0.753,101.072,-9999,-9999,6,199.4
201405020030,2.811,-3.999,3166426.693,-9999,-9999,-9999,-9999,28.79,0.75,101.067,-9999,-9999,5.9,203.7
201405020045,2.763,-3.999,3166426.693,-9999,-9999,-9999,-9999,28.71,0.758,101.041,-9999,-9999,6.2,208.7
201405020100,2.716,-3.999,3166426.693,-9999,-9999,-9999,-9999,28.7,0.759,101.014,-9999,-9999,6.4,204.5
201405020115,2.668,-3.999,3166426.693,-9999,-9999,-9999,-9999,28.64,0.753,100.99,-9999,-9999,6.2,205
201405020130,2.621,-4,3166426.693,-9999,-9999,-9999,-9999,28.66,0.756,100.978,-9999,-9999,6.2,204
201405020145,2.573,-4.001,3166426.693,-9999,-9999,-9999,-9999,28.6,0.755,100.952,-9999,-9999,5.8,207.5
201405020200,2.526,-4.002,3166426.693,-9999,-9999,-9999,-9999,28.59,0.769,100.929,-9999,-9999,6.1,210.4
