TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201105071700,-25.190454,-188.01199,39.08N,105.07W,Forest
201105071800,-24.895711,-186.24493,39.08N,105.07W,Forest
201105071900,-24.730803,-185.03249,39.08N,105.07W,Forest
201105072000,-25.067042,-187.37326,39.08N,105.07W,Forest
201105072100,-25.110834,-190.03339,39.08N,105.07W,Forest
201105072200,-24.608401,-188.87274,39.08N,105.07W,Forest
201105072300,-24.441636,-188.41497,39.08N,105.07W,Forest
201105080000,-24.427805,-187.80866,39.08N,105.07W,Forest
201105080100,-24.268911,-185.20619,39.08N,105.07W,Forest
201105080200,-23.835011,-181.94726,39.08N,105.07W,Forest
201105080300,-23.325104,-179.16841,39.08N,105.07W,Forest
201105080400,-23.015484,-177.04302,39.08N,105.07W,Forest
201105080500,-22.872494,-176.34091,39.08N,105.07W,Forest
201105080600,-22.96564,-176.93227,39.08N,105.07W,Forest
201105080700,-22.327359,-172.75437,39.08N,105.07W,Forest
201105080800,-21.038128,-163.58747,39.08N,105.07W,Forest
201105080900,-21.734996,-164.30466,39.08N,105.07W,Forest
201105081000,-22.608534,-167.80806,39.08N,105.07W,Forest
201105081100,-23.343527,-173.14097,39.08N,105.07W,Forest
201105081200,-24.690369,-183.79153,39.08N,105.07W,Forest
201105081300,-26.852492,-198.81404,39.08N,105.07W,Forest
201105081400,-29.805423,-220.25692,39.08N,105.07W,Forest
201105081500,-29.627487,-222.54763,39.08N,105.07W,Forest
201105081600,-27.435202,-205.84466,39.08N,105.07W,Forest
201105081700,-27.051148,-202.28564,39.08N,105.07W,Forest
201105081800,-27.184582,-204.22171,39.08N,105.07W,Forest
201105081900,-26.68011,-198.98294,39.08N,105.07W,Forest
201105082000,-24.837021,-186.29528,39.08N,105.07W,Forest
201105082100,-24.084316,-180.18407,39.08N,105.07W,Forest
201105082200,-24.49847,-182.63885,39.08N,105.07W,Forest
201105082300,-24.635956,-184.0562,39.08N,105.07W,Forest
201105090000,-25.521519,-192.07746,39.08N,105.07W,Forest
201105090100,-25.762248,-194.67674,39.08N,105.07W,Forest
201105090200,-25.78451,-194.6539,39.08N,105.07W,Forest
201105090300,-25.521595,-194.36729,39.08N,105.07W,Forest
201105090400,-25.615634,-194.09292,39.08N,105.07W,Forest
201105090500,-26.034004,-197.34805,39.08N,105.07W,Forest
201105090600,-27.902891,-210.38332,39.08N,105.07W,Forest
201105090700,-27.89037,-211.39436,39.08N,105.07W,Forest
201105090800,-24.480502,-196.02685,39.08N,105.07W,Forest
201105090900,-28.518647,-216.20221,39.08N,105.07W,Forest
201105091000,-29.120908,-220.41864,39.08N,105.07W,Forest
201105091100,-28.011247,-212.83828,39.08N,105.07W,Forest
201105091200,-29.229778,-220.73859,39.08N,105.07W,Forest
201105091300,-30.224629,-227.91969,39.08N,105.07W,Forest
201105091400,-30.424197,-230.52046,39.08N,105.07W,Forest
201105091500,-29.504427,-224.16751,39.08N,105.07W,Forest
201105091600,-28.08465,-212.96963,39.08N,105.07W,Forest
201105091700,-27.652103,-208.98911,39.08N,105.07W,Forest
201105091800,-26.246631,-198.39558,39.08N,105.07W,Forest
201105091900,-25.392914,-192.41089,39.08N,105.07W,Forest
201105092000,-24.747501,-187.28451,39.08N,105.07W,Forest
201105092100,-22.763899,-172.53671,39.08N,105.07W,Forest
201105092200,-22.993541,-172.32334,39.08N,105.07W,Forest
201105092300,-23.432546,-176.61648,39.08N,105.07W,Forest
201105100000,-23.239608,-178.95053,39.08N,105.07W,Forest
201105100100,-23.795728,-182.34769,39.08N,105.07W,Forest
201105100200,-23.882729,-183.52999,39.08N,105.07W,Forest
201105100300,-24.110899,-185.12063,39.08N,105.07W,Forest
201105100400,-24.709942,-189.10651,39.08N,105.07W,Forest
201105100500,-24.710547,-189.53933,39.08N,105.07W,Forest
201105100600,-25.08906,-190.86167,39.08N,105.07W,Forest
201105100700,-25.262298,-189.92956,39.08N,105.07W,Forest
201105100800,-24.339283,-182.53517,39.08N,105.07W,Forest
201105100900,-23.989525,-179.0244,39.08N,105.07W,Forest
201105101000,-23.687631,-176.86457,39.08N,105.07W,Forest
201105101100,-23.527089,-175.74017,39.08N,105.07W,Forest
201105101200,-24.903958,-184.97975,39.08N,105.07W,Forest
201105101300,-25.605575,-191.54167,39.08N,105.07W,Forest
201105101400,-25.248011,-188.8953,39.08N,105.07W,Forest
201105101500,-26.121455,-195.96378,39.08N,105.07W,Forest
201105101600,-26.918851,-202.8164,39.08N,105.07W,Forest
201105101700,-25.483373,-192.37034,39.08N,105.07W,Forest
201105101800,-23.654457,-178.32221,39.08N,105.07W,Forest
201105101900,-23.51493,-176.61701,39.08N,105.07W,Forest
201105102000,-23.701903,-175.63071,39.08N,105.07W,Forest
201105102100,-22.683069,-170.46867,39.08N,105.07W,Forest
201105102200,-22.874972,-174.36302,39.08N,105.07W,Forest
201105102300,-22.767111,-174.19357,39.08N,105.07W,Forest
201105110000,-22.614342,-175.7197,39.08N,105.07W,Forest
201105110100,-21.40562,-158.53742,39.08N,105.07W,Forest
201105110200,-22.02237,-157.6231,39.08N,105.07W,Forest
201105110300,-24.101675,-174.55634,39.08N,105.07W,Forest
201105110400,-25.447358,-185.15408,39.08N,105.07W,Forest
201105110500,-26.208312,-191.69733,39.08N,105.07W,Forest
201105110600,-27.431043,-200.82779,39.08N,105.07W,Forest
201105110700,-27.727188,-203.01827,39.08N,105.07W,Forest
201105110800,-28.173898,-205.78498,39.08N,105.07W,Forest
201105110900,-28.451638,-208.70689,39.08N,105.07W,Forest
201105111000,-29.404893,-215.8948,39.08N,105.07W,Forest
201105111100,-28.740107,-212.13396,39.08N,105.07W,Forest
201105111200,-28.095222,-208.46957,39.08N,105.07W,Forest
201105111300,-28.175225,-208.36785,39.08N,105.07W,Forest
201105111400,-28.297701,-209.14142,39.08N,105.07W,Forest
201105111500,-28.158114,-208.12323,39.08N,105.07W,Forest
201105111600,-28.068828,-207.97607,39.08N,105.07W,Forest
201105111700,-27.801298,-205.92314,39.08N,105.07W,Forest
201105111800,-27.426,-203.93357,39.08N,105.07W,Forest
201105111900,-27.178817,-202.07616,39.08N,105.07W,Forest
201105112000,-27.746974,-205.15981,39.08N,105.07W,Forest
201105112100,-28.209931,-208.31979,39.08N,105.07W,Forest
201105112200,-28.414649,-208.8898,39.08N,105.07W,Forest
201105112300,-28.705721,-211.30653,39.08N,105.07W,Forest
201105120000,-29.104528,-214.49651,39.08N,105.07W,Forest
201105120100,-29.18347,-214.65608,39.08N,105.07W,Forest
201105120200,-29.466071,-216.79229,39.08N,105.07W,Forest
201105120300,-29.406855,-216.26242,39.08N,105.07W,Forest
201105120400,-28.83878,-212.55288,39.08N,105.07W,Forest
201105120500,-28.81589,-212.3781,39.08N,105.07W,Forest
201105120600,-29.22316,-215.46787,39.08N,105.07W,Forest
201105120700,-29.465194,-216.44494,39.08N,105.07W,Forest
201105120800,-29.745873,-220.05826,39.08N,105.07W,Forest
201105120900,-30.336682,-224.73901,39.08N,105.07W,Forest
201105121000,-29.979861,-221.29281,39.08N,105.07W,Forest
201105121100,-29.143214,-215.57312,39.08N,105.07W,Forest
201105121200,-28.930274,-213.43436,39.08N,105.07W,Forest
201105121300,-28.45698,-210.51516,39.08N,105.07W,Forest
201105121400,-28.210591,-209.68115,39.08N,105.07W,Forest
201105121500,-28.856192,-213.82152,39.08N,105.07W,Forest
201105121600,-28.448469,-210.01694,39.08N,105.07W,Forest
201105121700,-28.21488,-208.03904,39.08N,105.07W,Forest
201105121800,-27.802494,-205.04281,39.08N,105.07W,Forest
201105121900,-27.866292,-204.94508,39.08N,105.07W,Forest
201105122000,-27.415082,-204.76995,39.08N,105.07W,Forest
201105122100,-27.704814,-208.26893,39.08N,105.07W,Forest
201105122200,-27.590842,-209.51618,39.08N,105.07W,Forest
201105122300,-26.6842,-204.9413,39.08N,105.07W,Forest
201105130000,-27.137621,-205.75594,39.08N,105.07W,Forest
201105130100,-27.405469,-205.9578,39.08N,105.07W,Forest
201105130200,-27.493716,-205.75719,39.08N,105.07W,Forest
201105130300,-28.018871,-208.26999,39.08N,105.07W,Forest
201105130400,-28.310667,-210.38827,39.08N,105.07W,Forest
201105130500,-28.599513,-213.41827,39.08N,105.07W,Forest
201105130600,-29.222055,-218.13162,39.08N,105.07W,Forest
201105130700,-28.836699,-216.24834,39.08N,105.07W,Forest
201105130800,-27.851824,-205.18135,39.08N,105.07W,Forest
201105130900,-29.551968,-214.70373,39.08N,105.07W,Forest
201105131000,-29.339337,-211.87272,39.08N,105.07W,Forest
201105131100,-29.563912,-213.33067,39.08N,105.07W,Forest
201105131200,-28.831048,-208.27226,39.08N,105.07W,Forest
201105131300,-28.277886,-204.50248,39.08N,105.07W,Forest
