TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
200312030400,-9999,-9999,41.13N,72.08W,Urban
200312030500,-9999,-9999,41.13N,72.08W,Urban
200312030600,-9999,-9999,41.13N,72.08W,Urban
200312030700,-9999,-9999,41.13N,72.08W,Urban
200312030800,-9999,-9999,41.13N,72.08W,Urban
200312030900,-9999,-9999,41.13N,72.08W,Urban
200312031000,-9999,-9999,41.13N,72.08W,Urban
200312031100,-9999,-9999,41.13N,72.08W,Urban
200312031200,-9999,-9999,41.13N,72.08W,Urban
200312031300,-9999,-9999,41.13N,72.08W,Urban
200312031400,-9999,-9999,41.13N,72.08W,Urban
200312031500,-9999,-9999,41.13N,72.08W,Urban
200312031600,-9999,-9999,41.13N,72.08W,Urban
200312031700,-9999,-9999,41.13N,72.08W,Urban
200312031800,-9999,-9999,41.13N,72.08W,Urban
200312031900,-9999,-9999,41.13N,72.08W,Urban
200312032000,-9999,-9999,41.13N,72.08W,Urban
200312032100,-9999,-9999,41.13N,72.08W,Urban
200312032200,-9999,-9999,41.13N,72.08W,Urban
200312032300,-34.7563,-9999,41.13N,72.08W,Urban
200312040000,-34.154,-9999,41.13N,72.08W,Urban
200312040100,-31.8977,-9999,41.13N,72.08W,Urban
200312040200,-30.664,-9999,41.13N,72.08W,Urban
200312040300,-28.2628,-9999,41.13N,72.08W,Urban
200312040400,-30.4674,-9999,41.13N,72.08W,Urban
200312040500,-31.9983,-9999,41.13N,72.08W,Urban
200312040600,-30.2928,-9999,41.13N,72.08W,Urban
200312040700,-30.8804,-9999,41.13N,72.08W,Urban
200312040800,-30.2708,-9999,41.13N,72.08W,Urban
200312040900,-31.1323,-9999,41.13N,72.08W,Urban
200312041000,-30.6421,-9999,41.13N,72.08W,Urban
200312041100,-29.9282,-9999,41.13N,72.08W,Urban
200312041200,-29.2154,-9999,41.13N,72.08W,Urban
200312041300,-29.4135,-9999,41.13N,72.08W,Urban
200312041400,-9999,-9999,41.13N,72.08W,Urban
200312041500,-9999,-9999,41.13N,72.08W,Urban
200312041600,-28.9129,-9999,41.13N,72.08W,Urban
200312041700,-28.0267,-9999,41.13N,72.08W,Urban
200312041800,-27.5597,-9999,41.13N,72.08W,Urban
200312041900,-26.9166,-9999,41.13N,72.08W,Urban
200312042000,-26.7359,-9999,41.13N,72.08W,Urban
200312042100,-26.4892,-9999,41.13N,72.08W,Urban
200312042200,-25.8625,-9999,41.13N,72.08W,Urban
200312042300,-24.7061,-9999,41.13N,72.08W,Urban
200312050000,-24.7962,-9999,41.13N,72.08W,Urban
200312050100,-24.9708,-9999,41.13N,72.08W,Urban
200312050200,-23.6142,-9999,41.13N,72.08W,Urban
200312050300,-24.1664,-9999,41.13N,72.08W,Urban
200312050400,-24.2798,-9999,41.13N,72.08W,Urban
200312050500,-25.5074,-9999,41.13N,72.08W,Urban
200312050600,-25.5475,-9999,41.13N,72.08W,Urban
200312050700,-25.4931,-9999,41.13N,72.08W,Urban
200312050800,-26.3737,-9999,41.13N,72.08W,Urban
200312050900,-27.2016,-9999,41.13N,72.08W,Urban
200312051000,-27.687,-9999,41.13N,72.08W,Urban
200312051100,-27.8715,-9999,41.13N,72.08W,Urban
200312051200,-28.5747,-9999,41.13N,72.08W,Urban
200312051300,-28.731,-9999,41.13N,72.08W,Urban
200312051400,-9999,-9999,41.13N,72.08W,Urban
200312051500,-30.6455,-9999,41.13N,72.08W,Urban
200312051600,-29.7805,-9999,41.13N,72.08W,Urban
200312051700,-30.7437,-9999,41.13N,72.08W,Urban
200312051800,-29.8775,-9999,41.13N,72.08W,Urban
200312051900,-29.9211,-9999,41.13N,72.08W,Urban
200312052000,-9999,-9999,41.13N,72.08W,Urban
200312052100,-29.7314,-9999,41.13N,72.08W,Urban
200312052200,-29.1435,-9999,41.13N,72.08W,Urban
200312052300,-27.9128,-9999,41.13N,72.08W,Urban
200312060000,-26.3182,-9999,41.13N,72.08W,Urban
200312060100,-25.2008,-9999,41.13N,72.08W,Urban
200312060200,-24.8942,-9999,41.13N,72.08W,Urban
200312060300,-24.8998,-9999,41.13N,72.08W,Urban
200312060400,-24.2064,-9999,41.13N,72.08W,Urban
200312060500,-23.457,-9999,41.13N,72.08W,Urban
200312060600,-23.033,-9999,41.13N,72.08W,Urban
200312060700,-23.0712,-9999,41.13N,72.08W,Urban
200312060800,-23.3685,-9999,41.13N,72.08W,Urban
200312060900,-23.049,-9999,41.13N,72.08W,Urban
200312061000,-23.2111,-9999,41.13N,72.08W,Urban
200312061100,-23.0379,-9999,41.13N,72.08W,Urban
