TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201012312300,-9999,-9999,40.03N,105.55W,Forest
201101010000,-9999,-9999,40.03N,105.55W,Forest
201101010100,-9999,-9999,40.03N,105.55W,Forest
201101010200,-9999,-9999,40.03N,105.55W,Forest
201101010300,-9999,-9999,40.03N,105.55W,Forest
201101010400,-9999,-9999,40.03N,105.55W,Forest
201101010500,-9999,-9999,40.03N,105.55W,Forest
201101010600,-9999,-9999,40.03N,105.55W,Forest
201101010700,-9999,-9999,40.03N,105.55W,Forest
201101010800,-9999,-9999,40.03N,105.55W,Forest
201101010900,-9999,-9999,40.03N,105.55W,Forest
201101011000,-9999,-9999,40.03N,105.55W,Forest
201101011100,-9999,-9999,40.03N,105.55W,Forest
201101011200,-9999,-9999,40.03N,105.55W,Forest
201101011300,-9999,-9999,40.03N,105.55W,Forest
201101011400,-9999,-9999,40.03N,105.55W,Forest
201101011500,-9999,-9999,40.03N,105.55W,Forest
201101011600,-9999,-9999,40.03N,105.55W,Forest
201101011700,-9999,-9999,40.03N,105.55W,Forest
201101011800,-9999,-9999,40.03N,105.55W,Forest
201101011900,-9999,-9999,40.03N,105.55W,Forest
201101012000,-9999,-9999,40.03N,105.55W,Forest
201101012100,-9999,-9999,40.03N,105.55W,Forest
201101012200,-9999,-9999,40.03N,105.55W,Forest
201101012300,-9999,-9999,40.03N,105.55W,Forest
201101020000,-9999,-9999,40.03N,105.55W,Forest
201101020100,-9999,-9999,40.03N,105.55W,Forest
201101020200,-9999,-9999,40.03N,105.55W,Forest
201101020300,-9999,-9999,40.03N,105.55W,Forest
201101020400,-9999,-9999,40.03N,105.55W,Forest
201101020500,-9999,-9999,40.03N,105.55W,Forest
201101020600,-9999,-9999,40.03N,105.55W,Forest
201101020700,-9999,-9999,40.03N,105.55W,Forest
201101020800,-9999,-9999,40.03N,105.55W,Forest
201101020900,-9999,-9999,40.03N,105.55W,Forest
201101021000,-9999,-9999,40.03N,105.55W,Forest
201101021100,-9999,-9999,40.03N,105.55W,Forest
201101021200,-9999,-9999,40.03N,105.55W,Forest
201101021300,-9999,-9999,40.03N,105.55W,Forest
201101021400,-9999,-9999,40.03N,105.55W,Forest
201101021500,-9999,-9999,40.03N,105.55W,Forest
201101021600,-9999,-9999,40.03N,105.55W,Forest
201101021700,-9999,-9999,40.03N,105.55W,Forest
201101021800,-9999,-9999,40.03N,105.55W,Forest
201101021900,-9999,-9999,40.03N,105.55W,Forest
201101022000,-9999,-9999,40.03N,105.55W,Forest
201101022100,-9999,-9999,40.03N,105.55W,Forest
201101022200,-9999,-9999,40.03N,105.55W,Forest
201101022300,-9999,-9999,40.03N,105.55W,Forest
201101030000,-9999,-9999,40.03N,105.55W,Forest
201101030100,-9999,-9999,40.03N,105.55W,Forest
201101030200,-9999,-9999,40.03N,105.55W,Forest
201101030300,-9999,-9999,40.03N,105.55W,Forest
201101030400,-9999,-9999,40.03N,105.55W,Forest
201101030500,-9999,-9999,40.03N,105.55W,Forest
201101030600,-9999,-9999,40.03N,105.55W,Forest
201101030700,-9999,-9999,40.03N,105.55W,Forest
201101030800,-9999,-9999,40.03N,105.55W,Forest
201101030900,-9999,-9999,40.03N,105.55W,Forest
201101031000,-9999,-9999,40.03N,105.55W,Forest
201101031100,-9999,-9999,40.03N,105.55W,Forest
201101031200,-9999,-9999,40.03N,105.55W,Forest
201101031300,-9999,-9999,40.03N,105.55W,Forest
201101031400,-9999,-9999,40.03N,105.55W,Forest
201101031500,-9999,-9999,40.03N,105.55W,Forest
201101031600,-9999,-9999,40.03N,105.55W,Forest
201101031700,-9999,-9999,40.03N,105.55W,Forest
201101031800,-9999,-9999,40.03N,105.55W,Forest
201101031900,-9999,-9999,40.03N,105.55W,Forest
201101032000,-9999,-9999,40.03N,105.55W,Forest
201101032100,-9999,-9999,40.03N,105.55W,Forest
201101032200,-9999,-9999,40.03N,105.55W,Forest
201101032300,-9999,-9999,40.03N,105.55W,Forest
201101040000,-9999,-9999,40.03N,105.55W,Forest
201101040100,-9999,-9999,40.03N,105.55W,Forest
201101040200,-9999,-9999,40.03N,105.55W,Forest
201101040300,-9999,-9999,40.03N,105.55W,Forest
201101040400,-9999,-9999,40.03N,105.55W,Forest
201101040500,-9999,-9999,40.03N,105.55W,Forest
201101040600,-9999,-9999,40.03N,105.55W,Forest
201101040700,-9999,-9999,40.03N,105.55W,Forest
201101040800,-9999,-9999,40.03N,105.55W,Forest
201101040900,-9999,-9999,40.03N,105.55W,Forest
201101041000,-9999,-9999,40.03N,105.55W,Forest
201101041100,-9999,-9999,40.03N,105.55W,Forest
201101041200,-9999,-9999,40.03N,105.55W,Forest
201101041300,-9999,-9999,40.03N,105.55W,Forest
201101041400,-9999,-9999,40.03N,105.55W,Forest
201101041500,-9999,-9999,40.03N,105.55W,Forest
201101041600,-9999,-9999,40.03N,105.55W,Forest
201101041700,-9999,-9999,40.03N,105.55W,Forest
201101041800,-9999,-9999,40.03N,105.55W,Forest
201101041900,-9999,-9999,40.03N,105.55W,Forest
201101042000,-9999,-9999,40.03N,105.55W,Forest
201101042100,-9999,-9999,40.03N,105.55W,Forest
201101042200,-9999,-9999,40.03N,105.55W,Forest
201101042300,-9999,-9999,40.03N,105.55W,Forest
201101050000,-9999,-9999,40.03N,105.55W,Forest
201101050100,-9999,-9999,40.03N,105.55W,Forest
201101050200,-9999,-9999,40.03N,105.55W,Forest
201101050300,-9999,-9999,40.03N,105.55W,Forest
201101050400,-9999,-9999,40.03N,105.55W,Forest
201101050500,-9999,-9999,40.03N,105.55W,Forest
201101050600,-9999,-9999,40.03N,105.55W,Forest
201101050700,-9999,-9999,40.03N,105.55W,Forest
201101050800,-9999,-9999,40.03N,105.55W,Forest
201101050900,-9999,-9999,40.03N,105.55W,Forest
201101051000,-9999,-9999,40.03N,105.55W,Forest
201101051100,-9999,-9999,40.03N,105.55W,Forest
201101051200,-9999,-9999,40.03N,105.55W,Forest
201101051300,-9999,-9999,40.03N,105.55W,Forest
201101051400,-9999,-9999,40.03N,105.55W,Forest
201101051500,-9999,-9999,40.03N,105.55W,Forest
201101051600,-9999,-9999,40.03N,105.55W,Forest
201101051700,-9999,-9999,40.03N,105.55W,Forest
201101051800,-9999,-9999,40.03N,105.55W,Forest
201101051900,-9999,-9999,40.03N,105.55W,Forest
201101052000,-9999,-9999,40.03N,105.55W,Forest
201101052100,-9999,-9999,40.03N,105.55W,Forest
201101052200,-9999,-9999,40.03N,105.55W,Forest
201101052300,-9999,-9999,40.03N,105.55W,Forest
201101060000,-9999,-9999,40.03N,105.55W,Forest
201101060100,-9999,-9999,40.03N,105.55W,Forest
201101060200,-9999,-9999,40.03N,105.55W,Forest
201101060300,-9999,-9999,40.03N,105.55W,Forest
201101060400,-9999,-9999,40.03N,105.55W,Forest
201101060500,-9999,-9999,40.03N,105.55W,Forest
201101060600,-9999,-9999,40.03N,105.55W,Forest
201101060700,-9999,-9999,40.03N,105.55W,Forest
201101060800,-9999,-9999,40.03N,105.55W,Forest
201101060900,-9999,-9999,40.03N,105.55W,Forest
201101061000,-9999,-9999,40.03N,105.55W,Forest
201101061100,-9999,-9999,40.03N,105.55W,Forest
201101061200,-9999,-9999,40.03N,105.55W,Forest
201101061300,-9999,-9999,40.03N,105.55W,Forest
201101061400,-9999,-9999,40.03N,105.55W,Forest
201101061500,-9999,-9999,40.03N,105.55W,Forest
201101061600,-9999,-9999,40.03N,105.55W,Forest
201101061700,-9999,-9999,40.03N,105.55W,Forest
201101061800,-9999,-9999,40.03N,105.55W,Forest
201101061900,-9999,-9999,40.03N,105.55W,Forest
201101062000,-9999,-9999,40.03N,105.55W,Forest
201101062100,-9999,-9999,40.03N,105.55W,Forest
201101062200,-9999,-9999,40.03N,105.55W,Forest
201101062300,-9999,-9999,40.03N,105.55W,Forest
201101070000,-9999,-9999,40.03N,105.55W,Forest
201101070100,-9999,-9999,40.03N,105.55W,Forest
201101070200,-9999,-9999,40.03N,105.55W,Forest
201101070300,-9999,-9999,40.03N,105.55W,Forest
201101070400,-9999,-9999,40.03N,105.55W,Forest
201101070500,-9999,-9999,40.03N,105.55W,Forest
201101070600,-9999,-9999,40.03N,105.55W,Forest
201101070700,-9999,-9999,40.03N,105.55W,Forest
201101070800,-9999,-9999,40.03N,105.55W,Forest
201101070900,-9999,-9999,40.03N,105.55W,Forest
201101071000,-9999,-9999,40.03N,105.55W,Forest
201101071100,-9999,-9999,40.03N,105.55W,Forest
201101071200,-9999,-9999,40.03N,105.55W,Forest
201101071300,-9999,-9999,40.03N,105.55W,Forest
201101071400,-9999,-9999,40.03N,105.55W,Forest
201101071500,-9999,-9999,40.03N,105.55W,Forest
201101071600,-9999,-9999,40.03N,105.55W,Forest
201101071700,-9999,-9999,40.03N,105.55W,Forest
201101071800,-9999,-9999,40.03N,105.55W,Forest
201101071900,-9999,-9999,40.03N,105.55W,Forest
201101072000,-9999,-9999,40.03N,105.55W,Forest
201101072100,-9999,-9999,40.03N,105.55W,Forest
201101072200,-9999,-9999,40.03N,105.55W,Forest
201101072300,-9999,-9999,40.03N,105.55W,Forest
201101080000,-9999,-9999,40.03N,105.55W,Forest
201101080100,-9999,-9999,40.03N,105.55W,Forest
201101080200,-9999,-9999,40.03N,105.55W,Forest
201101080300,-9999,-9999,40.03N,105.55W,Forest
201101080400,-9999,-9999,40.03N,105.55W,Forest
201101080500,-9999,-9999,40.03N,105.55W,Forest
201101080600,-9999,-9999,40.03N,105.55W,Forest
201101080700,-9999,-9999,40.03N,105.55W,Forest
201101080800,-9999,-9999,40.03N,105.55W,Forest
201101080900,-9999,-9999,40.03N,105.55W,Forest
201101081000,-9999,-9999,40.03N,105.55W,Forest
201101081100,-9999,-9999,40.03N,105.55W,Forest
201101081200,-9999,-9999,40.03N,105.55W,Forest
201101081300,-9999,-9999,40.03N,105.55W,Forest
201101081400,-9999,-9999,40.03N,105.55W,Forest
201101081500,-9999,-9999,40.03N,105.55W,Forest
201101081600,-9999,-9999,40.03N,105.55W,Forest
201101081700,-9999,-9999,40.03N,105.55W,Forest
201101081800,-9999,-9999,40.03N,105.55W,Forest
201101081900,-9999,-9999,40.03N,105.55W,Forest
201101082000,-9999,-9999,40.03N,105.55W,Forest
201101082100,-9999,-9999,40.03N,105.55W,Forest
201101082200,-9999,-9999,40.03N,105.55W,Forest
201101082300,-9999,-9999,40.03N,105.55W,Forest
201101090000,-9999,-9999,40.03N,105.55W,Forest
201101090100,-9999,-9999,40.03N,105.55W,Forest
201101090200,-9999,-9999,40.03N,105.55W,Forest
201101090300,-9999,-9999,40.03N,105.55W,Forest
201101090400,-9999,-9999,40.03N,105.55W,Forest
201101090500,-9999,-9999,40.03N,105.55W,Forest
201101090600,-9999,-9999,40.03N,105.55W,Forest
201101090700,-9999,-9999,40.03N,105.55W,Forest
201101090800,-9999,-9999,40.03N,105.55W,Forest
201101090900,-9999,-9999,40.03N,105.55W,Forest
201101091000,-9999,-9999,40.03N,105.55W,Forest
201101091100,-9999,-9999,40.03N,105.55W,Forest
201101091200,-9999,-9999,40.03N,105.55W,Forest
201101091300,-9999,-9999,40.03N,105.55W,Forest
201101091400,-9999,-9999,40.03N,105.55W,Forest
201101091500,-9999,-9999,40.03N,105.55W,Forest
201101091600,-9999,-9999,40.03N,105.55W,Forest
201101091700,-9999,-9999,40.03N,105.55W,Forest
201101091800,-9999,-9999,40.03N,105.55W,Forest
201101091900,-9999,-9999,40.03N,105.55W,Forest
201101092000,-9999,-9999,40.03N,105.55W,Forest
201101092100,-9999,-9999,40.03N,105.55W,Forest
201101092200,-9999,-9999,40.03N,105.55W,Forest
201101092300,-9999,-9999,40.03N,105.55W,Forest
201101100000,-9999,-9999,40.03N,105.55W,Forest
201101100100,-9999,-9999,40.03N,105.55W,Forest
201101100200,-9999,-9999,40.03N,105.55W,Forest
201101100300,-9999,-9999,40.03N,105.55W,Forest
201101100400,-9999,-9999,40.03N,105.55W,Forest
201101100500,-9999,-9999,40.03N,105.55W,Forest
201101100600,-9999,-9999,40.03N,105.55W,Forest
201101100700,-9999,-9999,40.03N,105.55W,Forest
201101100800,-9999,-9999,40.03N,105.55W,Forest
201101100900,-9999,-9999,40.03N,105.55W,Forest
201101101000,-9999,-9999,40.03N,105.55W,Forest
201101101100,-9999,-9999,40.03N,105.55W,Forest
201101101200,-9999,-9999,40.03N,105.55W,Forest
201101101300,-9999,-9999,40.03N,105.55W,Forest
201101101400,-9999,-9999,40.03N,105.55W,Forest
201101101500,-9999,-9999,40.03N,105.55W,Forest
201101101600,-9999,-9999,40.03N,105.55W,Forest
201101101700,-9999,-9999,40.03N,105.55W,Forest
201101101800,-9999,-9999,40.03N,105.55W,Forest
201101101900,-9999,-9999,40.03N,105.55W,Forest
201101102000,-9999,-9999,40.03N,105.55W,Forest
201101102100,-9999,-9999,40.03N,105.55W,Forest
201101102200,-9999,-9999,40.03N,105.55W,Forest
201101102300,-9999,-9999,40.03N,105.55W,Forest
201101110000,-9999,-9999,40.03N,105.55W,Forest
201101110100,-9999,-9999,40.03N,105.55W,Forest
201101110200,-9999,-9999,40.03N,105.55W,Forest
201101110300,-9999,-9999,40.03N,105.55W,Forest
201101110400,-9999,-9999,40.03N,105.55W,Forest
201101110500,-9999,-9999,40.03N,105.55W,Forest
201101110600,-9999,-9999,40.03N,105.55W,Forest
201101110700,-9999,-9999,40.03N,105.55W,Forest
201101110800,-9999,-9999,40.03N,105.55W,Forest
201101110900,-9999,-9999,40.03N,105.55W,Forest
201101111000,-9999,-9999,40.03N,105.55W,Forest
201101111100,-9999,-9999,40.03N,105.55W,Forest
201101111200,-9999,-9999,40.03N,105.55W,Forest
201101111300,-9999,-9999,40.03N,105.55W,Forest
201101111400,-9999,-9999,40.03N,105.55W,Forest
201101111500,-9999,-9999,40.03N,105.55W,Forest
201101111600,-9999,-9999,40.03N,105.55W,Forest
201101111700,-9999,-9999,40.03N,105.55W,Forest
201101111800,-9999,-9999,40.03N,105.55W,Forest
201101111900,-9999,-9999,40.03N,105.55W,Forest
201101112000,-9999,-9999,40.03N,105.55W,Forest
201101112100,-9999,-9999,40.03N,105.55W,Forest
201101112200,-9999,-9999,40.03N,105.55W,Forest
201101112300,-9999,-9999,40.03N,105.55W,Forest
201101120000,-9999,-9999,40.03N,105.55W,Forest
201101120100,-9999,-9999,40.03N,105.55W,Forest
201101120200,-9999,-9999,40.03N,105.55W,Forest
201101120300,-9999,-9999,40.03N,105.55W,Forest
201101120400,-9999,-9999,40.03N,105.55W,Forest
201101120500,-9999,-9999,40.03N,105.55W,Forest
