TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Preciptition,Rn,U,WD,T_ERA5,RH_ERA5,P_ERA5,Preciptition_ERA5,Rn_ERA5,U_ERA5,WD_ERA5
200704010600,200704010659,-9999,-9999,-9999,-9999,-9999,4.2755,0.74433,98.0285873,0,-7.2458,3.864098063,327.219169,9.321042,0.9805728,96.38937,0.04358093,-0.06141601,5.104775,141.4443
200704010700,200704010759,-9999,-9999,-9999,-9999,-9999,4.17695,0.7399,98.09249115,0,-7.19695,3.463134367,336.9195882,9.434204,0.951123,96.34975,0.02338489,-3.377723,4.815472,146.7572
200704010800,200704010859,-9999,-9999,-9999,-9999,-9999,3.83115,0.73347,98.16488265,0,-7.51375,3.525239622,345.4747645,9.103992,0.9014797,96.28172,0.06271403,-4.813716,4.538622,139.9818
200704010900,200704010959,-9999,-9999,-9999,-9999,-9999,3.55605,0.741915,98.22562405,0,-7.0309,3.372254685,350.4958006,8.514062,0.8742083,96.2464,0.1520018,-3.738332,4.541428,137.0625
200704011000,200704011059,-9999,-9999,-9999,-9999,-9999,3.4644,0.761865,98.29260635,0,-6.36065,2.232398134,343.9224077,7.016976,0.912943,96.21281,0.04145504,-3.017115,4.220929,148.4713
200704011100,200704011159,-9999,-9999,-9999,-9999,-9999,3.2629,0.76926,98.3567619,0,-6.3907,2.76123985,177.2680241,6.440032,0.912998,96.21453,0.06696583,-5.959936,4.557953,161.3537
200704011200,200704011259,-9999,-9999,-9999,-9999,-9999,3.1563,0.769625,98.44929505,0,-6.0405,2.232957239,353.6060289,6.030049,0.9021624,96.24812,0.06271403,-4.871672,4.618324,166.4527
200704011300,200704011359,-9999,-9999,-9999,-9999,-9999,3.0462,0.767945,98.5223503,0,2.16075,2.133795394,9.243392437,5.564413,0.886498,96.24037,0.02869964,-2.805838,4.185863,166.1843
200704011400,200704011459,-9999,-9999,-9999,-9999,-9999,3.20585,0.76164,98.59890365,0,26.8935,2.105194963,8.519226851,5.920597,0.8589699,96.24468,0.05102158,27.62467,3.774733,171.2416
200704011500,200704011559,-9999,-9999,-9999,-9999,-9999,3.3348,0.752725,98.58641435,0,91.775,2.756905091,49.09955669,6.388089,0.8004542,96.2843,0,79.74903,3.491702,187.4526
200704011600,200704011659,-9999,-9999,-9999,-9999,-9999,3.5482,0.754915,98.59394835,0,113.425,2.101782986,68.12472547,6.319449,0.8201529,96.35837,0,102.772,3.152533,200.5207
200704011700,200704011759,-9999,-9999,-9999,-9999,-9999,3.99145,0.74015,98.6061783,0,167.295,1.458253467,85.15296155,6.289767,0.832969,96.38766,0,134.386,3.140519,207.0918
200704011800,200704011859,-9999,-9999,-9999,-9999,-9999,4.7008,0.715465,98.6179047,0,213.75,1.27728245,108.2206192,6.63111,0.8188806,96.44192,0.1233022,194.8467,3.930414,222.5377
200704011900,200704011959,-9999,-9999,-9999,-9999,-9999,5.44565,0.70411,98.5687866,0,286.59,1.662151402,88.00493977,6.495686,0.844682,96.5022,0.2657374,60.7431,4.715437,241.465
200704012000,200704012059,-9999,-9999,-9999,-9999,-9999,6.18885,0.687605,98.54925535,0,249.9,1.632707372,118.3966686,6.020774,0.8997048,96.58489,0.1158615,86.934,5.528753,255.9292
200704012100,200704012159,-9999,-9999,-9999,-9999,-9999,6.84065,0.673675,98.49329375,0,211.915,1.24308921,111.16547,5.200809,0.9123465,96.68652,0.3752212,71.74026,5.886736,263.646
200704012200,200704012259,-9999,-9999,-9999,-9999,-9999,7.4307,0.66798,98.41786195,0,159.995,1.606274807,91.24735144,3.855843,0.9439182,96.76749,0.5952518,46.00368,6.126784,265.9981
200704012300,200704012359,-9999,-9999,-9999,-9999,-9999,8.17615,0.65445,98.39813235,0,88.926,1.921428212,131.2501121,3.136054,0.9442837,96.91649,0.3497104,25.35043,6.692299,264.4996
200704020000,200704020059,-9999,-9999,-9999,-9999,-9999,8.0867,0.67986,98.37023925,0,10.8768,2.489623247,137.1153304,3.054428,0.9365801,97.05602,0.1530647,16.16141,6.889223,274.5409
200704020100,200704020159,-9999,-9999,-9999,-9999,-9999,7.2339,0.717915,98.32675935,0,-25.875,1.32167909,127.7499317,3.247361,0.9056758,97.18694,0.05633633,-6.864824,6.426999,279.7372
200704020200,200704020259,-9999,-9999,-9999,-9999,-9999,6.65645,0.751645,98.2750702,0,-22.7535,1.13286019,102.819944,3.542326,0.8865013,97.3523,0.01700719,-18.76797,6.333281,280.3177
200704020300,200704020359,-9999,-9999,-9999,-9999,-9999,6.7106,0.735945,98.23635485,0,-28.5275,1.902773916,115.6911997,3.694447,0.8739389,97.44704,0,-25.91574,6.185014,281.1946
200704020400,200704020459,-9999,-9999,-9999,-9999,-9999,6.27105,0.741815,98.15785595,0,-27.8325,3.158812653,121.6848435,3.733404,0.8633018,97.55643,0,-31.15743,5.862089,282.293
200704020500,200704020559,-9999,-9999,-9999,-9999,-9999,5.67805,0.760705,98.1302948,0,-30.141,2.683374927,136.0055275,3.683316,0.8619307,97.62534,0,-54.98333,5.573739,282.6999
200704020600,200704020659,-9999,-9999,-9999,-9999,-9999,5.42085,0.773495,98.15846255,0,-11.0015,2.143251302,139.8380797,3.81874,0.8668473,97.73299,0,-52.70377,5.365421,283.3415
200704020700,200704020759,-9999,-9999,-9999,-9999,-9999,5.2422,0.770665,98.06206895,0,-7.5128,2.81298257,112.2289073,3.796479,0.8595832,97.76572,0,-32.58699,5.012959,285.6233
200704020800,200704020859,-9999,-9999,-9999,-9999,-9999,4.8214,0.79906,97.95952225,0.25,-6.44505,2.967588184,111.5232183,4.065472,0.8572326,97.80878,0,-41.12567,4.763916,288.6328
200704020900,200704020959,-9999,-9999,-9999,-9999,-9999,4.46495,0.83837,97.8723183,1,-5.8858,3.057547432,120.9156414,3.763086,0.8813653,97.85358,0,-30.09492,4.44337,289.0236
200704021000,200704021059,-9999,-9999,-9999,-9999,-9999,4.3361,0.841345,97.90468975,4.5,-7.47375,4.007413202,140.018334,3.956019,0.8293113,97.93023,0,-34.8923,3.511955,283.294
200704021100,200704021159,-9999,-9999,-9999,-9999,-9999,4.2573,0.8447,97.78169635,2.75,-7.3847,3.400393906,116.4381166,3.712998,0.833196,97.97416,0,-41.24158,3.179731,282.8214
200704021200,200704021259,-9999,-9999,-9999,-9999,-9999,4.07835,0.85421,97.6580925,3.25,-6.52775,2.930566436,100.9741401,3.690737,0.8380954,98.05081,0,-38.80148,3.138162,282.6704
200704021300,200704021359,-9999,-9999,-9999,-9999,-9999,3.9392,0.86486,97.5136566,3.5,-0.7903,2.720631638,93.16717792,3.751956,0.8422928,98.13866,0,2.987088,3.209039,279.9838
200704021400,200704021459,-9999,-9999,-9999,-9999,-9999,4.03945,0.86779,97.467144,2.25,4.40855,3.002950522,101.5381316,3.731549,0.8201658,98.18173,0,90.23267,3.952789,300.9009
200704021500,200704021559,-9999,-9999,-9999,-9999,-9999,4.11795,0.85973,97.3479309,2,12.5366,2.690658104,86.72361938,4.985614,0.7566574,98.20843,0,198.9595,3.557268,307.151
200704021600,200704021659,-9999,-9999,-9999,-9999,-9999,4.21975,0.862565,97.29624555,1.5,27.08,2.929383533,87.2671578,5.325102,0.7452968,98.27733,0,284.7949,3.159597,305.9563
200704021700,200704021759,-9999,-9999,-9999,-9999,-9999,4.5516,0.85602,97.39361955,0,18.213,1.178760796,98.44895416,5.850102,0.724438,98.30145,0,420.5009,2.701182,300.7476
200704021800,200704021859,-9999,-9999,-9999,-9999,-9999,4.8025,0.85589,97.32923505,0,53.936,2.019713017,56.17072986,6.312028,0.7080063,98.29542,0,494.1705,2.071676,288.6868
200704021900,200704021959,-9999,-9999,-9999,-9999,-9999,4.80425,0.85309,97.26093675,0,66.965,2.718038111,59.19327242,7.083761,0.654295,98.2868,0,517.0397,1.753196,262.9393
200704022000,200704022059,-9999,-9999,-9999,-9999,-9999,4.58895,0.86038,97.22164535,0,51.063,2.920997396,55.88039475,7.45293,0.6555798,98.23685,0,497.3063,1.404508,259.4788
200704022100,200704022159,-9999,-9999,-9999,-9999,-9999,3.9871,0.86277,97.19363405,0.75,57.332,3.895446504,52.64046557,8.664328,0.58527,98.16881,0,397.0858,0.5914244,314.3526
200704022200,200704022259,-9999,-9999,-9999,-9999,-9999,3.8522,0.85844,97.1987686,2.5,24.643,3.283057397,51.100059,8.577137,0.6444993,98.18001,0,314.7637,0.7565982,0.1446075
200704022300,200704022359,-9999,-9999,-9999,-9999,-9999,3.86225,0.85652,97.23844525,2.25,24.9305,2.964656368,37.79027732,8.517773,0.6363782,98.12316,0,171.1235,0.8236366,49.78612
200704030000,200704030059,-9999,-9999,-9999,-9999,-9999,3.9058,0.851665,97.2609024,0.25,11.448425,3.386207173,24.04127514,8.020599,0.675568,98.10938,0.02976259,19.86143,1.544865,24.0247
200704030100,200704030159,-9999,-9999,-9999,-9999,-9999,3.6284,0.84815,97.31279375,0,-7.4714,4.207878489,12.74999286,7.503019,0.6982346,98.15847,0.03188849,-22.71347,1.966779,33.91241
200704030200,200704030259,-9999,-9999,-9999,-9999,-9999,2.8257,0.846455,97.36516955,0,-10.21115,4.502421846,2.916631816,7.4418,0.7024027,98.22393,0.01381835,-19.3282,2.246204,50.84448
200704030300,200704030359,-9999,-9999,-9999,-9999,-9999,2.6035,0.84707,97.4833145,0,-10.3515,3.586323644,2.414024055,6.530933,0.7865964,98.2558,0,-31.31842,2.562249,44.80641
200704030400,200704030459,-9999,-9999,-9999,-9999,-9999,2.9905,0.845505,97.5753174,0,-7.5731,3.600688087,354.1715148,6.347276,0.7868269,98.20412,0.07546943,-28.41423,3.236924,42.06204
200704030500,200704030559,-9999,-9999,-9999,-9999,-9999,3.21135,0.83266,97.64525605,0,-16.4396,4.178963197,340.8342611,5.887205,0.7932889,98.09991,0,-33.57866,3.963325,45.95477
200704030600,200704030659,-9999,-9999,-9999,-9999,-9999,2.9774,0.81415,97.7140007,0,-17.337,4.145323712,341.8045926,5.814855,0.7588838,98.03358,0.2264083,-31.87221,4.198829,53.78863
200704030700,200704030759,-9999,-9999,-9999,-9999,-9999,3.31645,0.839445,97.79001235,0,-4.34605,4.121547441,336.6593876,5.260172,0.7625408,98.03617,0.01807014,-19.82403,3.740942,61.67254
200704030800,200704030859,-9999,-9999,-9999,-9999,-9999,4.22725,0.82666,97.82574085,0,-4.2662,4.5108998,340.5828846,5.185967,0.7519979,97.96124,0,-19.12857,3.858532,55.26788
200704030900,200704030959,-9999,-9999,-9999,-9999,-9999,4.95945,0.78585,97.89709855,0,-5.7626,5.0433853,341.6341273,4.99489,0.764704,97.94401,0.0106295,-32.59343,3.471555,59.36973
200704031000,200704031059,-9999,-9999,-9999,-9999,-9999,4.82945,0.736905,98.0026817,0,-12.3315,4.673402807,337.7988206,4.325189,0.8577865,97.71663,0,-18.16266,3.178338,75.29762
200704031100,200704031159,-9999,-9999,-9999,-9999,-9999,3.62255,0.71527,98.1465187,0,-77.0375,4.871509304,333.6806559,4.377133,0.8543701,97.71922,0,-14.11226,2.388205,34.92616
