TIMESTAMP_START	TIMESTAMP_END	Q	Delta_18O	Delta_18O_std	Delta_D	Delta_D_std	T	RH	P	Preciptition	Rn	U	WD	T_ERA5	RH_ERA5	P_ERA5	Preciptition_ERA5	Rn_ERA5	U_ERA5	WD_ERA5
200905010400	200905010459	-9999	-9999	-9999	-9999	-9999	16.4	95.3	97.63	0.94	1	4.5805	246.35	15.98426	0.9342531	96.50529	1.173124	-3.60812	5.602427	216.8862
200905010500	200905010559	-9999	-9999	-9999	-9999	-9999	17.35	94.1	97.615	0.94	0.2	4.166	270.2	16.02437	0.9303659	96.45525	0.4647682	-1.197811	5.111681	230.7968
200905010600	200905010659	-9999	-9999	-9999	-9999	-9999	17.2	94.05	97.695	0	0.95	2.958	308.55	16.23067	0.9297925	96.51293	0.02096155	-1.114031	4.836887	256.2281
200905010700	200905010759	-9999	-9999	-9999	-9999	-9999	16.35	90.65	97.77	0	-6.2	3.2525	295.8	15.85245	0.9296963	96.57909	0.01301062	-1.371818	5.18251	273.9816
200905010800	200905010859	-9999	-9999	-9999	-9999	-9999	15.25	88.3	97.885	0	-44.9	3.727	293.45	14.84006	0.9318499	96.66817	0.01590187	-1.578047	5.456223	270.5747
200905010900	200905010959	-9999	-9999	-9999	-9999	-9999	14.65	87.4	97.965	0	-41	5.4345	292.75	13.78372	0.9267492	96.76317	0	-1.874502	5.520388	262.5884
200905011000	200905011059	-9999	-9999	-9999	-9999	-9999	14.6	89.9	98.04	0	0.95	3.7095	289.8	13.53922	0.8899432	96.84885	0	-2.886317	5.441087	261.4521
200905011100	200905011159	-9999	-9999	-9999	-9999	-9999	14.8	91.05	98.035	0	28.75	3.234	269.2	13.57551	0.8921476	96.83612	0	-2.086996	5.052166	254.2159
200905011200	200905011259	-9999	-9999	-9999	-9999	-9999	16	80.45	98.06	0	153.8	4.3455	288.55	13.83339	0.8925691	96.86157	0.03108092	21.50327	4.619566	251.4803
200905011300	200905011359	-9999	-9999	-9999	-9999	-9999	15.95	72.55	98.115	0	169.7	4.1765	241.4	14.14857	0.8896807	96.93367	0.02891249	59.44446	4.322305	262.2328
200905011400	200905011459	-9999	-9999	-9999	-9999	-9999	12.8	75.45	98.2	0	387.4	3.333	81.75	14.26127	0.8069483	96.95657	0.06938997	160.1903	4.308933	280.9311
200905011500	200905011559	-9999	-9999	-9999	-9999	-9999	13.5	70.05	98.255	0	423.8	3.4125	173.65	15.44367	0.5575507	97.01171	0.05565654	277.8775	5.248085	289.5969
200905011600	200905011659	-9999	-9999	-9999	-9999	-9999	15.2	58	98.255	0	579.8	4.849	303.75	15.60413	0.5660953	96.98965	0.02240718	406.5873	4.756869	292.4739
200905011700	200905011759	-9999	-9999	-9999	-9999	-9999	15.3	53.2	98.24	0	454.2	5.3945	302.7	15.08838	0.5779676	97.0397	0	372.9733	5.046507	302.8848
200905011800	200905011859	-9999	-9999	-9999	-9999	-9999	15.65	47.35	98.295	0	405	5.902	293.75	14.83242	0.5755876	97.09824	0	385.0674	4.837564	304.0125
200905011900	200905011959	-9999	-9999	-9999	-9999	-9999	15.95	46.45	98.285	0	269.15	5.713	302.5	14.23262	0.584542	97.1169	0	376.0555	5.428627	289.0497
200905012000	200905012059	-9999	-9999	-9999	-9999	-9999	13.75	58.35	98.325	0	77	4.3	160	13.8353	0.5796987	97.15083	0.01156499	275.2874	5.327337	293.1241
200905012100	200905012159	-9999	-9999	-9999	-9999	-9999	11.1	67.3	98.42	0	29.65	4.294	200.2	11.54881	0.5835388	97.17543	0	193.267	5.314232	300.6105
200905012200	200905012259	-9999	-9999	-9999	-9999	-9999	10	65.25	98.46	0	29.4	4.5935	235.7	7.713163	0.7528771	97.2348	0.04987404	73.47115	4.924559	306.5715
200905012300	200905012359	-9999	-9999	-9999	-9999	-9999	8.3	67.5	98.515	0	-12.5	4.016	108.1	7.012126	0.7556494	97.312	0.03686342	49.84871	4.852217	305.5283
200905020000	200905020059	-9999	-9999	-9999	-9999	-9999	7.35	70.4	98.51	0	-35.7	3.2895	155.4	6.74088	0.7082394	97.31454	0	-9.197411	4.766896	307.6774
200905020100	200905020159	-9999	-9999	-9999	-9999	-9999	7.75	67.15	98.59	0	-53.8	3.438	257.2	6.710317	0.6473354	97.32642	0	-44.97587	4.151023	301.9684
200905020200	200905020259	-9999	-9999	-9999	-9999	-9999	7.5	64.55	98.7	0	-74.05	3.553	284.9	6.469634	0.6362196	97.42906	0	-43.71334	4.113643	297.1964
200905020300	200905020359	-9999	-9999	-9999	-9999	-9999	6.7	60.8	98.74	0	-98.35	2.866	274.4	3.346485	0.6888589	97.50031	0	-54.76596	4.055199	298.3661
200905020400	200905020459	-9999	-9999	-9999	-9999	-9999	6	60	98.755	0	-95.4	2.644	326.9	3.029395	0.6820645	97.51473	0	-86.44799	3.88682	297.417
200905020500	200905020559	-9999	-9999	-9999	-9999	-9999	5.45	62.1	98.765	0	-90.8	1.448	275.65	2.653089	0.6745453	97.51473	0	-95.94745	3.515401	294.4992
200905020600	200905020659	-9999	-9999	-9999	-9999	-9999	5.45	61.55	98.755	0	-86.75	1.844	286.55	2.832646	0.6722116	97.56733	0	-94.4974	3.396285	290.6276
200905020700	200905020759	-9999	-9999	-9999	-9999	-9999	4.4	67.3	98.735	0	-84.15	2.254	283.15	2.947257	0.6778923	97.55714	0	-85.00439	3.092871	289.2427
200905020800	200905020859	-9999	-9999	-9999	-9999	-9999	4.15	68.75	98.78	0	-83.95	3.085	256.3	2.803993	0.7008399	97.5563	0	-87.09246	2.455312	277.2474
200905020900	200905020959	-9999	-9999	-9999	-9999	-9999	3.7	72.5	98.78	0	-81.05	2.6515	265.25	1.713278	0.7063201	97.5529	0	-82.29762	2.131354	263.1563
200905021000	200905021059	-9999	-9999	-9999	-9999	-9999	3.1	76.6	98.78	0	-51.4	1.709	227.25	3.726611	0.6844338	97.54272	0	-81.45982	1.63934	242.8565
200905021100	200905021159	-9999	-9999	-9999	-9999	-9999	4.4	72.05	98.785	0	101.95	1.964	254.95	3.869875	0.6801494	97.55545	0	-54.84559	1.922817	225.3632
200905021200	200905021259	-9999	-9999	-9999	-9999	-9999	6.6	62.05	98.785	0	191.2	2.5745	230.65	5.155428	0.6733131	97.56393	0	59.10617	1.538677	211.5226
200905021300	200905021359	-9999	-9999	-9999	-9999	-9999	9.1	55.8	98.745	0	418.85	2.678	223.55	6.332101	0.6695278	97.5529	0.02312999	175.7622	2.503659	209.1001
200905021400	200905021459	-9999	-9999	-9999	-9999	-9999	12.2	47.3	98.65	0	440.65	4.705	273.55	7.98823	0.6383328	97.47741	0.1019165	347.757	4.545462	233.4972
200905021500	200905021559	-9999	-9999	-9999	-9999	-9999	13.25	46.9	98.605	0	368.3	5.0695	279.55	13.29472	0.4778576	97.43584	0.02457561	490.0063	6.478292	251.3117
200905021600	200905021659	-9999	-9999	-9999	-9999	-9999	13.2	45	98.525	0	178.95	5.445	278.7	13.56023	0.4893775	97.35271	0.02023874	493.3143	6.838496	253.4434
200905021700	200905021759	-9999	-9999	-9999	-9999	-9999	12.9	47.3	98.465	0	133.05	4.647	285.35	13.88114	0.4506892	97.28485	0.01445624	534.4886	6.615151	251.0005
200905021800	200905021859	-9999	-9999	-9999	-9999	-9999	13.75	40.7	98.425	0	287.7	5.542	287.2	14.17913	0.4292229	97.23735	0.04264592	535.2873	7.189149	251.2932
200905021900	200905021959	-9999	-9999	-9999	-9999	-9999	14.1	37.4	98.41	0	178.1	5.5525	286.6	14.24599	0.4053898	97.21021	0	439.0325	7.348182	256.3654
200905022000	200905022059	-9999	-9999	-9999	-9999	-9999	15	34.15	98.38	0	180.55	5.737	285.7	14.25172	0.4018533	97.21529	0.03830905	397.5586	7.624159	262.2919
200905022100	200905022159	-9999	-9999	-9999	-9999	-9999	15.75	27.9	98.37	0	173.1	5.889	293.6	14.45038	0.3753653	97.23396	0.02312999	339.9101	7.473613	266.2461
200905022200	200905022259	-9999	-9999	-9999	-9999	-9999	15.55	29.2	98.395	0	36.05	4.9625	297.8	12.8592	0.3640645	97.18137	0	216.9809	6.06669	263.0208
200905022300	200905022359	-9999	-9999	-9999	-9999	-9999	14.9	31.85	98.415	0	-40.4	3.542	293.4	12.79998	0.3512211	97.21784	0	110.9696	4.713126	265.2319
200905030000	200905030059	-9999	-9999	-9999	-9999	-9999	12.5	42	98.49	0	-79	3.722	179.15	11.71118	0.4124566	97.26025	0	-17.48618	3.099945	277.5995
200905030100	200905030159	-9999	-9999	-9999	-9999	-9999	9.1	56	98.605	0	-97.15	3.7455	188	10.53832	0.4919694	97.32048	0	-91.61334	1.956469	300.0882
200905030200	200905030259	-9999	-9999	-9999	-9999	-9999	8.6	57.2	98.65	0	-96.45	2.306	298.75	9.392214	0.5716636	97.37307	0	-88.11716	1.480445	313.6566
200905030300	200905030359	-9999	-9999	-9999	-9999	-9999	8	57.3	98.65	0	-91.4	2.59	231.85	3.434353	0.8051922	97.44942	0	-85.88086	1.334516	312.8435
200905030400	200905030459	-9999	-9999	-9999	-9999	-9999	7.35	57.45	98.68	0	-89.45	2.968	248.3	3.883246	0.7966491	97.43839	0	-81.40181	1.460347	315.9075
200905030500	200905030559	-9999	-9999	-9999	-9999	-9999	6.45	61.9	98.67	0	-80.65	3.2565	244.2	4.13539	0.7785477	97.44687	0	-78.05058	1.492488	305.3976
200905030600	200905030659	-9999	-9999	-9999	-9999	-9999	6.2	62.25	98.66	0	-53.1	2.7335	251.8	3.239515	0.8088012	97.50455	0	-75.62093	0.7144062	267.8585
200905030700	200905030759	-9999	-9999	-9999	-9999	-9999	5.5	67.1	98.69	0	-39.25	0.849	127.55	2.607244	0.8409508	97.50286	0	-72.92706	0.748853	220.8727
200905030800	200905030859	-9999	-9999	-9999	-9999	-9999	6.05	65.5	98.715	0	-20.95	1.397	159.55	2.316896	0.856209	97.53085	0	-68.97648	1.154059	221.776
200905030900	200905030959	-9999	-9999	-9999	-9999	-9999	5.55	69.7	98.77	0	-25.5	1.71	95.85	2.223297	0.8197173	97.51219	0	-63.51783	1.39	220.5796
