,Delta_18O,Delta_D,Latitude,Longitude,TIMESTAMP
0,-9.98,-73.57,32.054N,-64.430E,201208162215
1,-9.96,-74.02,32.054N,-64.430E,201208162230
2,-10.33,-76.59,32.054N,-64.430E,201208162245
3,-10.37,-76.63,32.054N,-64.430E,201208162300
4,-10.44,-76.76,32.054N,-64.430E,201208162315
5,-10.43,-76.64,32.054N,-64.430E,201208162330
6,-10.41,-76.19,32.054N,-64.430E,201208162345
7,-10.37,-75.67,32.054N,-64.430E,201208170000
8,-10.33,-75.8,32.054N,-64.430E,201208170015
9,-10.23,-75.88,32.054N,-64.430E,201208170030
10,-10.12,-75.06,32.054N,-64.430E,201208170045
11,-10.04,-74.66,32.054N,-64.430E,201208170100
12,-10.09,-74.96,32.054N,-64.430E,201208170115
13,-9.95,-74.43,32.054N,-64.430E,201208170130
14,-10.05,-75.05,32.054N,-64.430E,201208170145
15,-10.21,-76.13,32.054N,-64.430E,201208170200
16,-10.07,-75.25,32.054N,-64.430E,201208170215
17,-10.27,-76.06,32.054N,-64.430E,201208170230
18,-10.51,-77.25,32.054N,-64.430E,201208170245
19,-10.43,-76.85,32.054N,-64.430E,201208170300
20,-10.52,-77.5,32.054N,-64.430E,201208170315
21,-10.55,-77.77,32.054N,-64.430E,201208170330
22,-10.56,-77.91,32.054N,-64.430E,201208170345
23,-10.38,-76.51,32.054N,-64.430E,201208170400
24,-10.56,-77.63,32.054N,-64.430E,201208170415
25,-10.52,-77.47,32.054N,-64.430E,201208170430
26,-10.47,-77.13,32.054N,-64.430E,201208170445
27,-10.51,-77.49,32.054N,-64.430E,201208170500
32,-10.25,-76.93,32.054N,-64.430E,201208170615
33,-10.28,-76.08,32.054N,-64.430E,201208170630
34,-10.42,-76.84,32.054N,-64.430E,201208170645
35,-10.36,-76.41,32.054N,-64.430E,201208170700
36,-10.44,-76.77,32.054N,-64.430E,201208170715
37,-10.36,-76.38,32.054N,-64.430E,201208170730
38,-10.42,-77.01,32.054N,-64.430E,201208170745
39,-10.43,-77.0,32.054N,-64.430E,201208170800
40,-10.46,-77.1,32.054N,-64.430E,201208170815
41,-10.51,-77.42,32.054N,-64.430E,201208170830
42,-10.5,-77.27,32.054N,-64.430E,201208170845
43,-10.6,-77.73,32.054N,-64.430E,201208170900
44,-10.59,-77.93,32.054N,-64.430E,201208170915
45,-10.59,-78.03,32.054N,-64.430E,201208170930
46,-10.67,-78.29,32.054N,-64.430E,201208170945
47,-10.65,-78.3,32.054N,-64.430E,201208171000
48,-10.59,-78.08,32.054N,-64.430E,201208171015
49,-10.72,-78.89,32.054N,-64.430E,201208171030
50,-10.78,-79.36,32.054N,-64.430E,201208171045
51,-10.73,-78.92,32.054N,-64.430E,201208171100
52,-10.71,-78.83,32.054N,-64.430E,201208171115
53,-10.76,-79.19,32.054N,-64.430E,201208171130
54,-10.8,-79.52,32.054N,-64.430E,201208171145
55,-10.93,-80.18,32.054N,-64.430E,201208171200
60,-10.96,-80.81,32.054N,-64.430E,201208171315
61,-10.94,-80.24,32.054N,-64.430E,201208171330
62,-10.88,-79.73,32.054N,-64.430E,201208171345
63,-10.95,-79.71,32.054N,-64.430E,201208171400
64,-10.99,-80.27,32.054N,-64.430E,201208171415
65,-11.01,-80.22,32.054N,-64.430E,201208171430
66,-10.99,-79.93,32.054N,-64.430E,201208171445
67,-11.04,-80.26,32.054N,-64.430E,201208171500
68,-11.03,-80.29,32.054N,-64.430E,201208171515
